N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
1000,2.60E-07,4.27E-08
1006.83929,2.56E-07,4.17E-08
1013.7254,2.53E-07,4.07E-08
1020.65863,2.50E-07,3.97E-08
1027.63916,2.46E-07,3.87E-08
1034.66748,2.43E-07,3.77E-08
1041.7439,2.40E-07,3.68E-08
1048.86877,2.37E-07,3.59E-08
1056.04236,2.33E-07,3.50E-08
1063.26489,2.30E-07,3.41E-08
1070.53687,2.27E-07,3.33E-08
1077.85852,2.24E-07,3.24E-08
1085.23035,2.21E-07,3.16E-08
1092.65271,2.18E-07,3.08E-08
1100.12561,2.15E-07,3.01E-08
1107.64966,2.12E-07,2.93E-08
1115.22534,2.10E-07,2.86E-08
1122.85266,2.07E-07,2.79E-08
1130.5321,2.04E-07,2.72E-08
1138.26428,2.01E-07,2.65E-08
1146.04919,1.98E-07,2.58E-08
1153.88745,1.96E-07,2.52E-08
1161.77917,1.93E-07,2.46E-08
1169.72498,1.91E-07,2.39E-08
1177.7251,1.88E-07,2.34E-08
1185.77979,1.85E-07,2.28E-08
1193.88977,1.83E-07,2.22E-08
1202.05518,1.80E-07,2.16E-08
1210.27637,1.78E-07,2.11E-08
1218.55383,1.76E-07,2.06E-08
1226.88794,1.73E-07,2.01E-08
1235.27893,1.71E-07,1.96E-08
1243.72742,1.69E-07,1.91E-08
1252.23364,1.66E-07,1.86E-08
1260.7981,1.64E-07,1.81E-08
1269.42114,1.62E-07,1.77E-08
1278.10303,1.60E-07,1.72E-08
1286.84436,1.57E-07,1.68E-08
1295.64551,1.55E-07,1.64E-08
1304.50684,1.53E-07,1.59E-08
1313.42871,1.51E-07,1.55E-08
1322.41162,1.49E-07,1.51E-08
1331.45605,1.47E-07,1.48E-08
1340.56238,1.45E-07,1.44E-08
1349.73083,1.43E-07,1.40E-08
1358.96204,1.41E-07,1.37E-08
1368.25647,1.39E-07,1.33E-08
1377.61438,1.37E-07,1.30E-08
1387.03625,1.35E-07,1.26E-08
1396.52258,1.33E-07,1.23E-08
1406.07397,1.32E-07,1.20E-08
1415.69043,1.30E-07,1.17E-08
1425.3728,1.28E-07,1.14E-08
1435.12146,1.26E-07,1.11E-08
1444.93665,1.25E-07,1.08E-08
1454.81897,1.23E-07,1.06E-08
1464.76892,1.21E-07,1.03E-08
1474.78687,1.20E-07,1.00E-08
1484.87341,1.18E-07,9.77E-09
1495.02893,1.16E-07,9.52E-09
1505.25391,1.15E-07,9.27E-09
1515.54883,1.13E-07,9.04E-09
1525.91406,1.12E-07,8.80E-09
1536.35034,1.10E-07,8.58E-09
1546.85791,1.09E-07,8.36E-09
1557.43726,1.07E-07,8.14E-09
1568.08911,1.06E-07,7.93E-09
1578.81384,1.04E-07,7.73E-09
1589.61182,1.03E-07,7.53E-09
1600.48364,1.01E-07,7.34E-09
1611.42981,9.99E-08,7.15E-09
1622.45081,9.85E-08,6.97E-09
1633.54736,9.72E-08,6.79E-09
1644.71973,9.58E-08,6.61E-09
1655.96838,9.45E-08,6.44E-09
1667.29419,9.32E-08,6.28E-09
1678.69727,9.19E-08,6.12E-09
1690.17834,9.07E-08,5.96E-09
1701.73804,8.94E-08,5.81E-09
1713.37671,8.82E-08,5.66E-09
1725.09509,8.70E-08,5.51E-09
1736.89355,8.58E-08,5.37E-09
1748.77258,8.46E-08,5.23E-09
1760.73303,8.34E-08,5.10E-09
1772.77527,8.23E-08,4.97E-09
1784.89978,8.11E-08,4.84E-09
1797.10718,8.00E-08,4.71E-09
1809.39832,7.89E-08,4.59E-09
1821.77332,7.78E-08,4.47E-09
1834.23291,7.68E-08,4.35E-09
1846.77783,7.57E-08,4.24E-09
1859.40845,7.47E-08,4.13E-09
1872.12561,7.36E-08,4.02E-09
1884.92969,7.26E-08,3.92E-09
1897.82117,7.16E-08,3.82E-09
