N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
250,2.93E-06,3.07E-07
251.068527,2.92E-06,3.02E-07
252.141632,2.90E-06,2.97E-07
253.219299,2.88E-06,2.93E-07
254.301575,2.85E-06,2.88E-07
255.388504,2.83E-06,2.84E-07
256.480042,2.80E-06,2.80E-07
257.576263,2.78E-06,2.75E-07
258.677185,2.76E-06,2.71E-07
259.782776,2.73E-06,2.67E-07
260.893127,2.71E-06,2.63E-07
262.008209,2.68E-06,2.59E-07
263.128082,2.66E-06,2.55E-07
264.252686,2.63E-06,2.51E-07
265.382141,2.61E-06,2.48E-07
266.516418,2.59E-06,2.44E-07
267.655518,2.56E-06,2.40E-07
268.7995,2.54E-06,2.37E-07
269.948395,2.51E-06,2.33E-07
271.102203,2.49E-06,2.30E-07
272.260895,2.47E-06,2.26E-07
273.424561,2.44E-06,2.23E-07
274.593201,2.42E-06,2.19E-07
275.766846,2.40E-06,2.16E-07
276.945496,2.38E-06,2.13E-07
278.129181,2.35E-06,2.10E-07
279.317932,2.33E-06,2.06E-07
280.51181,2.31E-06,2.03E-07
281.710724,2.29E-06,2.00E-07
282.914795,2.27E-06,1.97E-07
284.123993,2.24E-06,1.94E-07
285.338379,2.22E-06,1.91E-07
286.557953,2.20E-06,1.89E-07
287.782684,2.18E-06,1.86E-07
289.012726,2.16E-06,1.83E-07
290.247986,2.14E-06,1.80E-07
291.488525,2.12E-06,1.77E-07
292.734375,2.10E-06,1.75E-07
293.985565,2.07E-06,1.72E-07
295.242096,2.05E-06,1.69E-07
296.503998,2.03E-06,1.67E-07
297.771271,2.01E-06,1.65E-07
299.043976,1.99E-06,1.62E-07
300.322113,1.97E-06,1.60E-07
301.605743,1.95E-06,1.58E-07
302.894836,1.93E-06,1.56E-07
304.189423,1.91E-06,1.53E-07
305.489563,1.90E-06,1.51E-07
306.795258,1.88E-06,1.49E-07
308.106537,1.86E-06,1.47E-07
309.423431,1.84E-06,1.45E-07
310.745911,1.82E-06,1.43E-07
312.074066,1.80E-06,1.41E-07
313.407928,1.78E-06,1.39E-07
314.747467,1.76E-06,1.36E-07
316.092712,1.75E-06,1.34E-07
317.443726,1.73E-06,1.32E-07
318.800507,1.71E-06,1.30E-07
320.163086,1.69E-06,1.28E-07
321.531494,1.67E-06,1.26E-07
322.905792,1.66E-06,1.24E-07
324.285889,1.64E-06,1.22E-07
325.671936,1.62E-06,1.21E-07
327.063873,1.60E-06,1.19E-07
328.461792,1.58E-06,1.17E-07
329.865662,1.57E-06,1.15E-07
331.275543,1.55E-06,1.13E-07
332.691467,1.53E-06,1.12E-07
334.113434,1.52E-06,1.10E-07
335.541443,1.50E-06,1.08E-07
336.975586,1.48E-06,1.06E-07
338.415863,1.46E-06,1.05E-07
339.862274,1.45E-06,1.03E-07
341.31488,1.43E-06,1.02E-07
342.773712,1.41E-06,1.00E-07
344.238739,1.40E-06,9.83E-08
345.710083,1.38E-06,9.67E-08
347.187683,1.36E-06,9.51E-08
348.67157,1.35E-06,9.35E-08
350.161835,1.33E-06,9.20E-08
