Au,Density=19.32,
"Energy(eV),","Delta,",Beta
1000,0.002106222,0.001030617
1006.83929,0.002084595,0.001010731
1013.7254,0.002063168,0.000991229
1020.65863,0.002042559,0.000972106
1027.63916,0.002022402,0.000953354
1034.66748,0.002002419,0.000934316
1041.7439,0.00198261,0.000914417
1048.86877,0.00196297,0.000894942
1056.04236,0.001942094,0.000874932
1063.26489,0.001921401,0.000855353
1070.53687,0.001900324,0.000836212
1077.85852,0.001879125,0.000817497
1085.23035,0.001857984,0.000799201
1092.65271,0.001836634,0.000781316
1100.12561,0.001815522,0.000763831
1107.64966,0.001794212,0.000746736
1115.22534,0.001773109,0.000730023
1122.85266,0.001752023,0.000713685
1130.5321,0.001731013,0.000697713
1138.26428,0.001710175,0.000682098
1146.04919,0.00168931,0.000666828
1153.88745,0.001668696,0.0006519
1161.77917,0.00164805,0.000637303
1169.72498,0.001627611,0.000623033
1177.7251,0.001607266,0.000609082
1185.77979,0.001587022,0.000595443
1193.88977,0.001566973,0.00058211
1202.05518,0.001546851,0.000569076
1210.27637,0.001526987,0.000556334
1218.55383,0.001506938,0.000544041
1226.88794,0.001487041,0.00053206
1235.27893,0.00146747,0.000520647
1243.72742,0.001448234,0.000509853
1252.23364,0.001429268,0.000499282
1260.7981,0.001410722,0.000488932
1269.42114,0.001392416,0.000478797
1278.10303,0.001374408,0.00046887
1286.84436,0.001356652,0.000459149
1295.64551,0.00133921,0.00044963
1304.50684,0.001322126,0.000440308
1313.42871,0.001305256,0.000431163
1322.41162,0.001288504,0.000421637
1331.45605,0.001271967,0.000412321
1340.56238,0.001255428,0.000403139
1349.73083,0.001239002,0.000394127
1358.96204,0.001222703,0.000385318
1368.25647,0.001206434,0.000376706
1377.61438,0.001190381,0.000368288
1387.03625,0.001174382,0.000360056
1396.52258,0.001158592,0.000352009
1406.07397,0.00114278,0.000344142
1415.69043,0.001127036,0.000336451
1425.3728,0.001111511,0.000329058
1435.12146,0.001096202,0.000322182
1444.93665,0.001081105,0.00031545
1454.81897,0.001066506,0.000308915
1464.76892,0.001052134,0.00030252
1474.78687,0.001038296,0.000296248
1484.87341,0.001024913,0.000290097
1495.02893,0.001011626,0.000283762
1505.25391,0.000998199,0.000276313
1515.54883,0.000984949,0.00026906
1525.91406,0.000971145,0.000261969
1536.35034,0.000957398,0.000255061
1546.85791,0.000943458,0.000248463
1557.43726,0.000929317,0.000242167
1568.08911,0.000915376,0.000236126
1578.81384,0.000901579,0.000230834
1589.61182,0.000887989,0.00022566
1600.48364,0.000874793,0.000220646
1611.42981,0.000861847,0.000215756
1622.45081,0.00084914,0.000210954
1633.54736,0.000836686,0.000206234
1644.71973,0.000824386,0.000201586
1655.96838,0.00081192,0.000196612
1667.29419,0.00079964,0.000191761
1678.69727,0.000787228,0.000187209
1690.17834,0.000774883,0.000182834
1701.73804,0.000762772,0.000178683
1713.37671,0.000750923,0.000174838
1725.09509,0.000739252,0.000171073
1736.89355,0.000727543,0.000167082
1748.77258,0.000716016,0.000163185
1760.73303,0.000704448,0.00015967
