Au,Density=19.32,
"Energy(eV),","Delta,",Beta
250,0.007638928,0.010724387
255.377594,0.007497581,0.010682661
260.87088,0.007352776,0.010616174
266.48233,0.007222107,0.010549842
272.214447,0.007124632,0.010483924
278.069885,0.007078749,0.010353304
284.0513,0.006995893,0.010180528
290.161346,0.006894922,0.010010616
296.402832,0.006793927,0.009843596
302.778564,0.006699258,0.009679323
309.291443,0.006620182,0.009517782
315.944458,0.006552752,0.009327959
322.74054,0.006474671,0.009131542
329.682831,0.006393404,0.008939238
336.774445,0.006317211,0.008751024
344.018585,0.006251869,0.008566746
351.418549,0.006213251,0.008385355
358.977692,0.006174563,0.008149063
366.699463,0.006111988,0.007911746
374.587341,0.006038479,0.007681334
382.644836,0.005961676,0.00745766
390.875702,0.005886279,0.007240476
399.2836,0.005819424,0.007029605
407.872314,0.005761641,0.006799579
416.645813,0.00568598,0.006560751
425.608032,0.005598479,0.006330292
434.763031,0.005506664,0.006107928
444.11499,0.005414447,0.005893372
453.66806,0.005325777,0.00568158
463.426636,0.005231512,0.00546756
473.395142,0.005130508,0.00526025
483.578064,0.005026957,0.005060788
493.980011,0.004922253,0.004868899
504.605713,0.004817675,0.004684281
515.460022,0.004714133,0.004505561
526.547729,0.004610344,0.004332263
537.873962,0.004506826,0.004165479
549.443909,0.004404476,0.004005122
561.262695,0.004303982,0.003850928
573.335632,0.004206793,0.003701226
585.668335,0.004109799,0.003555274
598.266235,0.00401389,0.003415075
611.135254,0.003920246,0.003280402
624.281006,0.003829407,0.003151043
637.709473,0.003742382,0.003026786
651.426941,0.00366409,0.002904721
665.439392,0.003588318,0.002774321
679.753235,0.003504298,0.002644936
694.375,0.003416693,0.002521576
709.311218,0.003328445,0.002403977
724.568848,0.003239992,0.002291863
740.154602,0.003152569,0.002186138
756.075623,0.003067218,0.002085379
772.339111,0.002984004,0.001989262
788.952454,0.002903871,0.001897573
805.923096,0.00282801,0.001807437
823.25885,0.002751456,0.001718238
840.967468,0.002675273,0.001633443
859.057007,0.002600961,0.001552835
877.535706,0.002532292,0.001475957
896.411865,0.002464114,0.001394308
915.69397,0.002392632,0.001316363
935.39093,0.002321452,0.001242775
955.511597,0.002252034,0.00117295
976.065063,0.002183788,0.001104504
997.060608,0.002115577,0.001039325
1018.50769,0.002048833,0.000977985
1040.41626,0.001986303,0.000918108
1062.79602,0.001922734,0.000856607
1085.65723,0.001856745,0.000798159
1109.01013,0.001790394,0.000743698
1132.86548,0.001724707,0.000692953
1157.23376,0.00165992,0.000645658
1182.12634,0.001596156,0.00060158
1207.55432,0.001533521,0.000560511
1233.5293,0.001471502,0.00052292
1260.06311,0.001412299,0.000489809
1287.16748,0.001356003,0.000458795
1314.85498,0.001302574,0.000429632
1343.13794,0.001250781,0.00040058
1372.02942,0.001199923,0.000373282
1401.54248,0.001150312,0.000347845
1431.69006,0.001101555,0.00032458
1462.48633,0.001055405,0.000303972
1493.94495,0.001013065,0.000284567
1526.08032,0.000970924,0.000261858
1558.90686,0.000927377,0.000241309
1592.4397,0.000884488,0.000224332
1626.69373,0.000844346,0.000209133
1661.68457,0.000805688,0.000194145
1697.42798,0.000767229,0.000180138
1733.94031,0.00073045,0.00016807
1771.23804,0.000694401,0.000156797
1809.33826,0.000660402,0.000147503
1848.25781,0.000627293,0.000137261
1888.01453,0.000594915,0.00012866
1928.62659,0.00056422,0.000120119
1970.11194,0.000532664,0.000111296
2012.48975,0.000501153,0.000103806
2055.77954,0.000469759,9.66E-05
2100,0.000436586,8.96E-05
