B4C,Density=2.52,
"Energy(eV),","Delta,",Beta
250,0.005920301,0.003710705
255.377594,0.00574722,0.00345711
260.87088,0.005552954,0.00322083
266.48233,0.005336871,0.00300072
272.214447,0.005089877,0.002795698
278.069885,0.004742233,0.002602022
284.0513,0.003437601,0.002418723
290.161346,0.004531557,0.00313489
296.402832,0.004618699,0.00291746
302.778564,0.00459415,0.002715115
309.291443,0.004528075,0.002526811
315.944458,0.004437051,0.002351591
322.74054,0.004332033,0.002188524
329.682831,0.004218884,0.002036797
336.774445,0.004100049,0.001895593
344.018585,0.003978042,0.001764168
351.418549,0.003854893,0.001641896
358.977692,0.003731414,0.001528081
366.699463,0.003608612,0.001422161
374.587341,0.003487725,0.001323586
382.644836,0.003368901,0.001230686
390.875702,0.00325167,0.001143664
399.2836,0.003137106,0.001061956
407.872314,0.003023906,0.000984975
416.645813,0.00291255,0.000913457
425.608032,0.002803824,0.000847154
434.763031,0.002697922,0.000785653
444.11499,0.002595,0.000728595
453.66806,0.002495302,0.000675457
463.426636,0.00239854,0.000625874
473.395142,0.002304569,0.000579793
483.578064,0.002213643,0.000537109
493.980011,0.002125746,0.000497438
504.605713,0.002040735,0.000460668
515.460022,0.001958745,0.000426598
526.547729,0.001879754,0.000394946
537.873962,0.001803498,0.000365419
549.443909,0.001729828,0.000338036
561.262695,0.001658787,0.00031296
573.335632,0.001590694,0.000289858
585.668335,0.001525304,0.00026826
598.266235,0.00146238,0.000248211
611.135254,0.001401876,0.000229651
624.281006,0.001343818,0.000212471
637.709473,0.001288197,0.000196418
651.426941,0.001234633,0.000181206
665.439392,0.00118279,0.000167038
679.753235,0.00113268,0.000154345
694.375,0.001084933,0.000143133
709.311218,0.0010397,0.000132617
724.568848,0.000996261,0.000122456
740.154602,0.000954391,0.000112998
756.075623,0.000914183,0.000104271
772.339111,0.000875615,9.62E-05
788.952454,0.000838623,8.88E-05
805.923096,0.000803142,8.19E-05
823.25885,0.000769125,7.55E-05
840.967468,0.000736531,6.96E-05
859.057007,0.000705307,6.42E-05
877.535706,0.000675373,5.92E-05
896.411865,0.00064667,5.45E-05
915.69397,0.000619161,5.02E-05
935.39093,0.000592804,4.63E-05
955.511597,0.00056757,4.27E-05
976.065063,0.000543416,3.93E-05
997.060608,0.000520298,3.63E-05
1018.50769,0.000498175,3.34E-05
1040.41626,0.000476996,3.08E-05
1062.79602,0.000456701,2.83E-05
1085.65723,0.000437257,2.61E-05
1109.01013,0.000418637,2.40E-05
1132.86548,0.000400808,2.21E-05
1157.23376,0.000383737,2.03E-05
1182.12634,0.000367395,1.87E-05
1207.55432,0.000351752,1.72E-05
1233.5293,0.000336779,1.59E-05
1260.06311,0.000322448,1.46E-05
1287.16748,0.000308728,1.34E-05
1314.85498,0.000295592,1.23E-05
1343.13794,0.000283017,1.14E-05
1372.02942,0.00027098,1.04E-05
1401.54248,0.000259458,9.61E-06
1431.69006,0.00024843,8.84E-06
1462.48633,0.000237874,8.13E-06
1493.94495,0.000227771,7.48E-06
1526.08032,0.0002181,6.87E-06
1558.90686,0.000208841,6.32E-06
1592.4397,0.000199976,5.80E-06
1626.69373,0.000191491,5.34E-06
1661.68457,0.000183368,4.90E-06
1697.42798,0.000175593,4.51E-06
1733.94031,0.000168151,4.14E-06
1771.23804,0.000161026,3.81E-06
1809.33826,0.000154205,3.50E-06
1848.25781,0.000147675,3.21E-06
1888.01453,0.000141423,2.95E-06
1928.62659,0.000135437,2.71E-06
1970.11194,0.000129707,2.49E-06
2012.48975,0.000124221,2.29E-06
2055.77954,0.00011897,2.10E-06
2100,0.000113943,1.93E-06
