C,Density=3.52,
"Energy(eV),","Delta,",Beta
1000,0.000770481,7.70E-05
1006.83929,0.0007599,7.50E-05
1013.7254,0.000749464,7.31E-05
1020.65863,0.000739173,7.13E-05
1027.63916,0.000729025,6.95E-05
1034.66748,0.000719017,6.77E-05
1041.7439,0.000709148,6.60E-05
1048.86877,0.000699414,6.43E-05
1056.04236,0.000689799,6.26E-05
1063.26489,0.000680316,6.10E-05
1070.53687,0.000670957,5.95E-05
1077.85852,0.000661722,5.79E-05
1085.23035,0.000652612,5.64E-05
1092.65271,0.000643624,5.50E-05
1100.12561,0.00063476,5.36E-05
1107.64966,0.000626013,5.22E-05
1115.22534,0.000617386,5.09E-05
1122.85266,0.000608876,4.95E-05
1130.5321,0.000600481,4.83E-05
1138.26428,0.000592201,4.70E-05
1146.04919,0.000584033,4.58E-05
1153.88745,0.000575978,4.46E-05
1161.77917,0.000568032,4.35E-05
1169.72498,0.000560196,4.24E-05
1177.7251,0.000552467,4.13E-05
1185.77979,0.000544844,4.02E-05
1193.88977,0.000537327,3.92E-05
1202.05518,0.000529913,3.82E-05
1210.27637,0.000522601,3.72E-05
1218.55383,0.00051539,3.62E-05
1226.88794,0.000508279,3.53E-05
1235.27893,0.000501267,3.44E-05
1243.72742,0.000494353,3.35E-05
1252.23364,0.000487534,3.26E-05
1260.7981,0.000480809,3.18E-05
1269.42114,0.000474176,3.10E-05
1278.10303,0.000467632,3.02E-05
1286.84436,0.000461176,2.94E-05
1295.64551,0.000454809,2.86E-05
1304.50684,0.000448527,2.79E-05
1313.42871,0.000442332,2.71E-05
1322.41162,0.000436222,2.64E-05
1331.45605,0.000430196,2.57E-05
1340.56238,0.000424252,2.51E-05
1349.73083,0.000418391,2.44E-05
1358.96204,0.00041261,2.38E-05
1368.25647,0.000406908,2.32E-05
1377.61438,0.000401286,2.26E-05
1387.03625,0.000395741,2.20E-05
1396.52258,0.000390272,2.14E-05
1406.07397,0.000384879,2.08E-05
1415.69043,0.000379561,2.03E-05
1425.3728,0.000374316,1.98E-05
1435.12146,0.000369144,1.92E-05
1444.93665,0.000364044,1.87E-05
1454.81897,0.000359015,1.83E-05
1464.76892,0.000354055,1.78E-05
1474.78687,0.000349164,1.73E-05
1484.87341,0.000344341,1.69E-05
1495.02893,0.000339584,1.64E-05
1505.25391,0.000334894,1.60E-05
1515.54883,0.000330269,1.56E-05
1525.91406,0.000325707,1.52E-05
1536.35034,0.000321208,1.48E-05
1546.85791,0.000316771,1.44E-05
1557.43726,0.000312395,1.40E-05
1568.08911,0.00030808,1.36E-05
1578.81384,0.000303825,1.33E-05
1589.61182,0.000299629,1.29E-05
1600.48364,0.000295491,1.26E-05
1611.42981,0.00029141,1.23E-05
1622.45081,0.000287386,1.19E-05
1633.54736,0.000283418,1.16E-05
1644.71973,0.000279504,1.13E-05
1655.96838,0.000275646,1.10E-05
1667.29419,0.00027184,1.07E-05
1678.69727,0.000268088,1.04E-05
1690.17834,0.000264388,1.02E-05
1701.73804,0.000260739,9.90E-06
1713.37671,0.000257141,9.64E-06
1725.09509,0.000253593,9.39E-06
1736.89355,0.000250095,9.14E-06
1748.77258,0.000246645,8.90E-06
1760.73303,0.000243243,8.66E-06
1772.77527,0.000239888,8.44E-06
1784.89978,0.000236579,8.21E-06
