C,Density=3.52,
"Energy(eV),","Delta,",Beta
250,0.005871029,0.00038453
255.377594,0.005312527,0.000350496
260.87088,0.00469547,0.00031947
266.48233,0.003989523,0.000291193
272.214447,0.003117684,0.000265418
278.069885,0.001622703,0.000241924
284.0513,-0.005990172,0.000220511
290.161346,0.001838207,0.00590477
296.402832,0.003215874,0.005513717
302.778564,0.0038823,0.005148552
309.291443,0.004280906,0.004807597
315.944458,0.004516059,0.004489198
322.74054,0.004652973,0.00419188
329.682831,0.004725593,0.003914282
336.774445,0.004748343,0.003655044
344.018585,0.004735438,0.003412973
351.418549,0.004697396,0.003186951
358.977692,0.004639131,0.002975892
366.699463,0.004566223,0.002778806
374.587341,0.004485158,0.002594769
382.644836,0.004397108,0.002415309
390.875702,0.004296276,0.002243011
399.2836,0.004186726,0.002083004
407.872314,0.004071909,0.001934406
416.645813,0.00395355,0.001796411
425.608032,0.003833661,0.00166826
434.763031,0.003713014,0.001549248
444.11499,0.003592259,0.001438729
453.66806,0.003472497,0.001336093
463.426636,0.003354111,0.001240784
473.395142,0.003237414,0.00115227
483.578064,0.003123246,0.001070039
493.980011,0.00301144,0.000992843
504.605713,0.002901448,0.000921027
515.460022,0.002794024,0.000854406
526.547729,0.002689332,0.000792604
537.873962,0.002587361,0.00073527
549.443909,0.002488369,0.000682085
561.262695,0.002392381,0.000632747
573.335632,0.002299303,0.000586976
585.668335,0.002209263,0.00054452
598.266235,0.002122241,0.000505133
611.135254,0.002038113,0.000468593
624.281006,0.001956932,0.000434698
637.709473,0.00187864,0.000403256
651.426941,0.00180311,0.000374086
665.439392,0.001730278,0.000347026
679.753235,0.00166002,0.000322228
694.375,0.001592939,0.000299717
709.311218,0.00152945,0.000278333
724.568848,0.001468027,0.000257333
740.154602,0.001408238,0.000237714
756.075623,0.0013505,0.000219591
772.339111,0.001294873,0.000202847
788.952454,0.001241312,0.000187373
805.923096,0.001189801,0.000173075
823.25885,0.001140298,0.000159868
840.967468,0.001092749,0.000147667
859.057007,0.001047103,0.000136366
877.535706,0.00100327,0.000125901
896.411865,0.000961177,0.000116233
915.69397,0.000920793,0.000107309
935.39093,0.000882063,9.91E-05
955.511597,0.000844903,9.14E-05
976.065063,8.09E-04,8.44E-05
997.060608,7.75E-04,7.79E-05
1018.50769,7.42E-04,7.19E-05
1040.41626,7.11E-04,6.63E-05
1062.79602,6.81E-04,6.11E-05
1085.65723,6.52E-04,5.64E-05
1109.01013,6.24E-04,5.20E-05
1132.86548,5.98E-04,4.79E-05
1157.23376,5.73E-04,4.42E-05
1182.12634,5.48E-04,4.07E-05
1207.55432,5.25E-04,3.75E-05
1233.5293,5.03E-04,3.46E-05
1260.06311,4.81E-04,3.19E-05
1287.16748,4.61E-04,2.93E-05
1314.85498,4.41E-04,2.70E-05
1343.13794,4.23E-04,2.49E-05
1372.02942,4.05E-04,2.29E-05
1401.54248,3.87E-04,2.11E-05
1431.69006,3.71E-04,1.94E-05
1462.48633,3.55E-04,1.79E-05
1493.94495,3.40E-04,1.65E-05
1526.08032,3.26E-04,1.52E-05
1558.90686,3.12E-04,1.39E-05
1592.4397,2.99E-04,1.28E-05
1626.69373,2.86E-04,1.18E-05
1661.68457,2.74E-04,1.09E-05
1697.42798,2.62E-04,1.00E-05
1733.94031,2.51E-04,9.20E-06
1771.23804,2.40E-04,8.46E-06
1809.33826,2.30E-04,7.79E-06
1848.25781,2.20E-04,7.16E-06
1888.01453,2.11E-04,6.58E-06
1928.62659,2.02E-04,6.06E-06
1970.11194,1.93E-04,5.57E-06
2012.48975,1.85E-04,5.12E-06
2055.77954,1.77E-04,4.71E-06
2100,1.70E-04,4.33E-06
