C,Density=2.2,
"Energy(eV),","Delta,",Beta
250,0.003669393,0.000240332
255.253021,0.003328287,0.000219526
260.616455,0.002953914,0.000200519
266.092529,0.002525882,0.000183159
271.683716,0.002000471,0.000167302
277.392365,0.001193945,0.000152817
283.220978,-0.002525954,0.000139587
289.172058,0.000823205,0.003731286
295.248169,0.001914868,0.003489653
301.451965,0.002360361,0.003263666
307.786102,0.002626846,0.003052316
314.253326,0.002792595,0.002854656
320.856476,0.002890205,0.002669783
327.598358,0.002943043,0.002496893
334.481903,0.00296563,0.0023352
341.510071,0.002965133,0.002183965
348.685913,0.002946104,0.00204254
356.012543,0.002914667,0.00191027
363.493134,0.002873809,0.001786563
371.13089,0.002825743,0.001670865
378.929138,0.002774003,0.001560523
386.891235,0.002716586,0.001452731
395.02066,0.00265187,0.00135139
403.320892,0.002582984,0.001257117
411.795532,0.002511826,0.001169419
420.448212,0.002439238,0.001087842
429.282715,0.002365556,0.001011952
438.302887,0.002291788,0.000941357
447.512543,0.002218349,0.000875689
456.915741,0.002145399,0.000814599
466.516479,0.002073362,0.000757774
476.319,0.002002576,0.000704913
486.327484,0.00193331,0.000655664
496.546265,0.001865237,0.000609286
506.979767,0.001798462,0.000566188
517.632507,0.001733231,0.000526139
528.509033,0.001669545,0.000488922
539.614136,0.00160759,0.000454337
550.952576,0.001547407,0.000422199
562.529236,0.001488976,0.000392335
574.349182,0.00143232,0.000364581
586.41748,0.001377472,0.000338794
598.73938,0.001324411,0.000314829
611.320129,0.001273086,0.000292559
624.165283,0.001223516,0.000271864
637.280334,0.001175669,0.000252634
650.670959,0.001129476,0.000234763
664.342957,0.001084892,0.000218157
678.302185,0.001041845,0.00020289
692.554749,0.001000606,0.000188995
707.10675,0.000961592,0.000175911
721.9646,0.00092393,0.000163006
737.134644,0.000887242,0.000150852
752.623352,0.000851714,0.000139605
768.437622,0.000817445,0.000129195
784.584106,0.000784431,0.000119558
801.069885,0.000752636,0.000110636
817.9021,0.000722043,0.00010238
835.087952,0.000692631,9.47E-05
852.634888,0.000664369,8.77E-05
870.550598,0.0006372,8.11E-05
888.842712,0.000611087,7.50E-05
907.519165,0.000586004,6.94E-05
926.588074,0.000561919,6.42E-05
946.057678,0.000538794,5.93E-05
965.93634,0.000516591,5.48E-05
986.232788,0.000495279,5.07E-05
1006.95563,0.000474826,4.69E-05
1028.11389,0.000455214,4.33E-05
1049.71667,0.000436417,4.01E-05
1071.77356,0.000418365,3.70E-05
1094.2937,0.000401039,3.42E-05
1117.28711,0.000384418,3.16E-05
1140.76379,0.000368475,2.91E-05
1164.73364,0.000353187,2.69E-05
1189.20715,0.00033853,2.49E-05
1214.19495,0.00032448,2.30E-05
1239.70776,0.000311015,2.12E-05
1265.75659,0.000298111,1.96E-05
1292.35291,0.000285735,1.81E-05
1319.50793,0.000273865,1.67E-05
1347.23364,0.000262485,1.54E-05
1375.54187,0.000251576,1.42E-05
1404.44495,0.000241119,1.31E-05
1433.95532,0.000231098,1.21E-05
1464.08569,0.000221495,1.11E-05
1494.84937,0.000212292,1.03E-05
1526.25928,0.000203473,9.47E-06
1558.32922,0.000195019,8.73E-06
1591.073,0.000186917,8.05E-06
1624.50476,0.000179153,7.42E-06
1658.63916,0.000171713,6.84E-06
1693.49072,0.000164584,6.31E-06
1729.07446,0.000157753,5.82E-06
1765.40601,0.000151208,5.36E-06
1802.50098,0.000144935,4.94E-06
1840.37537,0.000138922,4.55E-06
1879.04565,0.000133161,4.19E-06
1918.52832,0.000127639,3.86E-06
1958.8407,0.000122348,3.56E-06
2000,0.000117278,3.28E-06
