Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
1000,0.001303512,0.00070034
1006.83929,0.001292377,0.000684577
1013.7254,0.001281306,0.000669169
1020.65863,0.001270032,0.000654054
1027.63916,0.001258712,0.000639258
1034.66748,0.001247351,0.000624763
1041.7439,0.001235847,0.000610533
1048.86877,0.001224425,0.000596627
1056.04236,0.001212696,0.000582935
1063.26489,0.001201053,0.000569556
1070.53687,0.001189268,0.000556482
1077.85852,0.001177446,0.000543708
1085.23035,0.001165646,0.000531226
1092.65271,0.001153744,0.000519032
1100.12561,0.00114195,0.000507118
1107.64966,0.001130033,0.000495476
1115.22534,0.001118208,0.0004841
1122.85266,0.001106372,0.000472986
1130.5321,0.001094559,0.000462128
1138.26428,0.001082819,0.000451518
1146.04919,0.001071043,0.000441155
1153.88745,0.001059387,0.00043103
1161.77917,0.001047706,0.000421136
1169.72498,0.001036123,0.000411468
1177.7251,0.001024585,0.000402023
1185.77979,0.001013096,0.000392793
1193.88977,0.001001709,0.000383776
1202.05518,0.000990334,0.000374966
1210.27637,0.000979083,0.000366358
1218.55383,0.000967883,0.000357947
1226.88794,0.000956789,0.00034973
1235.27893,0.000945774,0.00034168
1243.72742,0.000934825,0.000333791
1252.23364,0.000923991,0.000326079
1260.7981,0.000913194,0.000318503
1269.42114,0.000902521,0.000311103
1278.10303,0.00089187,0.000303832
1286.84436,0.000881307,0.000296716
1295.64551,0.000870815,0.000289767
1304.50684,0.000860363,0.000282982
1313.42871,0.000850032,0.000276356
1322.41162,0.000839733,0.000269885
1331.45605,0.000829557,0.000263566
1340.56238,0.000819447,0.000257393
1349.73083,0.000809432,0.000251364
1358.96204,0.000799515,0.000245477
1368.25647,0.000789667,0.000239727
1377.61438,0.00077994,0.000234111
1387.03625,0.000770269,0.000228628
1396.52258,0.000760714,0.000223274
1406.07397,0.000751243,0.000218045
1415.69043,0.000741867,0.000212939
1425.3728,0.000732596,0.000207952
1435.12146,0.000723408,0.000203083
1444.93665,0.000714336,0.000198327
1454.81897,0.000705339,0.000193676
1464.76892,0.00069645,0.000189133
1474.78687,0.000687661,0.00018469
1484.87341,0.000678972,0.000180346
1495.02893,0.000670382,0.000176096
1505.25391,0.000661861,0.00017191
1515.54883,0.000653448,0.000167823
1525.91406,0.000645087,0.000163829
1536.35034,0.000636822,0.000159929
1546.85791,0.000628642,0.000156122
1557.43726,0.000620543,0.000152406
1568.08911,0.000612544,0.000148779
1578.81384,0.000604617,0.000145238
1589.61182,0.000596792,0.00014178
1600.48364,0.000589043,0.000138405
1611.42981,0.000581389,0.000135111
1622.45081,0.000573822,0.000131894
1633.54736,0.000566337,0.000128754
1644.71973,0.000558948,0.000125689
1655.96838,0.000551635,0.000122697
1667.29419,0.000544417,0.000119776
1678.69727,0.00053728,0.000116925
1690.17834,0.000530232,0.000114142
1701.73804,0.000523274,0.000111425
1713.37671,0.000516404,0.000108772
1725.09509,0.000509623,0.000106182
1736.89355,0.000502914,0.000103624
1748.77258,0.000496294,0.000101127
1760.73303,0.000489743,9.87E-05
1772.77527,0.000483269,9.63E-05
1784.89978,0.000476872,9.40E-05
1797.10718,0.000470539,9.17E-05
1809.39832,0.000464289,8.95E-05
1821.77332,0.000458102,8.73E-05
1834.23291,0.000451995,8.52E-05
1846.77783,0.00044596,8.31E-05
1859.40845,0.000439997,8.11E-05
1872.12561,0.00043411,7.91E-05
1884.92969,0.000428291,7.72E-05
1897.82117,0.000422549,7.53E-05
1910.80103,0.000416873,7.35E-05
1923.86963,0.000411272,7.17E-05
1937.02759,0.000405741,7.00E-05
1950.27539,0.000400279,6.83E-05
1963.61401,0.000394888,6.66E-05
1977.0437,0.000389558,6.50E-05
1990.56543,0.0003843,6.34E-05
2004.17944,0.000379115,6.19E-05
2017.8866,0.000373999,6.04E-05
2031.6875,0.000368951,5.89E-05
2045.58301,0.000363969,5.75E-05
2059.57349,0.000359052,5.61E-05
2073.65942,0.00035419,5.47E-05
2087.8418,0.000349394,5.34E-05
2102.12109,0.000344655,5.21E-05
2116.49829,0.000339978,5.08E-05
2130.97363,0.000335361,4.95E-05
2145.5481,0.000330803,4.83E-05
2160.22217,0.000326306,4.71E-05
2174.99634,0.000321863,4.60E-05
2189.87207,0.00031748,4.48E-05
2204.84912,0.000313152,4.37E-05
2219.92871,0.000308882,4.27E-05
2235.11157,0.000304668,4.16E-05
2250.39819,0.000300508,4.06E-05
2265.78931,0.000296404,3.96E-05
2281.28564,0.000292352,3.86E-05
2296.88818,0.000288355,3.77E-05
2312.59717,0.000284409,3.67E-05
2328.41406,0.000280515,3.58E-05
2344.33862,0.000276673,3.49E-05
2360.37231,0.000272881,3.41E-05
2376.51562,0.00026914,3.32E-05
2392.76929,0.000265447,3.24E-05
2409.13403,0.000261805,3.16E-05
2425.61108,0.00025821,3.08E-05
2442.20068,0.000254664,3.01E-05
2458.90356,0.000251165,2.93E-05
2475.7207,0.000247712,2.86E-05
2492.65283,0.000244307,2.79E-05
2509.70093,0.000240945,2.72E-05
2526.86548,0.00023763,2.65E-05
2544.14746,0.000234358,2.59E-05
2561.54785,0.000231131,2.52E-05
2579.06689,0.000227947,2.46E-05
2596.70605,0.000224805,2.40E-05
2614.46582,0.000221706,2.34E-05
2632.34692,0.000218648,2.28E-05
2650.35034,0.000215632,2.22E-05
2668.47681,0.000212656,2.17E-05
2686.72754,0.000209721,2.11E-05
2705.10278,0.000206826,2.06E-05
2723.60376,0.000203969,2.01E-05
2742.23145,0.000201151,1.96E-05
2760.98633,0.000198371,1.91E-05
2779.86963,0.000195629,1.86E-05
2798.88208,0.000192924,1.82E-05
2818.02441,0.000190256,1.77E-05
2837.29761,0.000187625,1.73E-05
2856.70288,0.000185028,1.68E-05
2876.24072,0.000182468,1.64E-05
2895.91211,0.000179942,1.60E-05
2915.71826,0.00017745,1.56E-05
2935.65991,0.000174993,1.52E-05
2955.73755,0.000172568,1.48E-05
2975.95288,0.000170178,1.45E-05
2996.3064,0.000167819,1.41E-05
3016.79907,0.000165493,1.38E-05
3037.43164,0.000163199,1.34E-05
3058.20581,0.000160935,1.31E-05
3079.12183,0.000158704,1.27E-05
3100.18091,0.000156502,1.24E-05
3121.38379,0.000154331,1.21E-05
3142.73218,0.000152189,1.18E-05
3164.22607,0.000150077,1.15E-05
3185.86719,0.000147994,1.12E-05
3207.65649,0.000145939,1.09E-05
3229.59448,0.000143912,1.07E-05
3251.68286,0.000141913,1.04E-05
3273.92188,0.000139942,1.01E-05
3296.31323,0.000137997,9.89E-06
3318.85791,0.00013608,9.64E-06
3341.55664,0.000134188,9.40E-06
3364.4104,0.000132323,9.17E-06
3387.42065,0.000130483,8.94E-06
3410.58838,0.000128669,8.71E-06
3433.91431,0.00012688,8.49E-06
3457.40015,0.000125115,8.28E-06
3481.04614,0.000123374,8.07E-06
3504.85425,0.000121658,7.87E-06
3528.82495,0.000119965,7.67E-06
3552.95972,0.000118295,7.48E-06
3577.25952,0.000116648,7.29E-06
3601.72559,0.000115024,7.11E-06
3626.35864,0.000113422,6.93E-06
3651.1604,0.000111842,6.76E-06
3676.13208,0.000110284,6.59E-06
3701.27417,0.000108747,6.42E-06
3726.58813,0.000107232,6.26E-06
3752.07568,0.000105738,6.10E-06
3777.73706,0.000104264,5.95E-06
3803.57422,0.00010281,5.80E-06
3829.58813,0.000101376,5.65E-06
3855.77979,1.00E-04,5.51E-06
3882.15088,9.86E-05,5.37E-06
3908.7019,9.72E-05,5.24E-06
3935.43481,9.58E-05,5.11E-06
3962.35034,9.45E-05,4.98E-06
3989.4502,9.32E-05,4.85E-06
4016.73511,9.19E-05,4.73E-06
4044.20703,9.06E-05,4.61E-06
4071.86646,8.93E-05,4.50E-06
4099.71533,8.81E-05,4.38E-06
4127.75488,8.68E-05,4.27E-06
4155.98535,8.56E-05,4.16E-06
4184.40967,8.44E-05,4.06E-06
4213.02783,8.33E-05,3.96E-06
4241.84229,8.21E-05,3.86E-06
4270.85352,8.09E-05,3.76E-06
4300.06299,7.98E-05,3.67E-06
4329.47266,7.87E-05,3.57E-06
4359.08301,7.76E-05,3.48E-06
4388.89648,7.65E-05,3.40E-06
4418.91357,7.54E-05,3.31E-06
4449.13574,7.44E-05,3.23E-06
4479.56445,7.33E-05,3.15E-06
4510.20215,7.23E-05,3.07E-06
4541.04834,7.13E-05,2.99E-06
4572.10645,7.03E-05,2.91E-06
4603.37646,6.93E-05,2.84E-06
4634.85986,6.83E-05,2.77E-06
4666.55908,6.74E-05,2.70E-06
4698.47559,6.64E-05,2.63E-06
4730.60986,6.55E-05,2.57E-06
4762.96387,6.46E-05,2.50E-06
4795.53955,6.36E-05,2.44E-06
4828.3374,6.28E-05,2.38E-06
4861.35986,6.19E-05,2.32E-06
4894.60791,6.10E-05,2.26E-06
4928.08398,6.01E-05,2.20E-06
4961.78857,5.93E-05,2.15E-06
4995.72363,5.84E-05,2.09E-06
5029.89111,5.76E-05,2.04E-06
5064.29199,5.68E-05,1.99E-06
5098.92822,5.60E-05,1.94E-06
5133.80127,5.52E-05,1.89E-06
5168.91357,5.44E-05,1.84E-06
5204.26514,5.36E-05,1.79E-06
5239.8584,5.29E-05,1.75E-06
5275.69531,5.21E-05,1.71E-06
5311.77783,5.14E-05,1.66E-06
5348.10645,5.07E-05,1.62E-06
5384.68408,4.99E-05,1.58E-06
5421.51172,4.92E-05,1.54E-06
5458.59082,4.85E-05,1.50E-06
5495.92383,4.78E-05,1.46E-06
5533.51221,4.71E-05,1.43E-06
5571.35791,4.64E-05,1.39E-06
5609.46191,4.58E-05,1.36E-06
5647.82666,4.51E-05,1.32E-06
5686.45361,4.45E-05,1.29E-06
5725.34521,4.38E-05,1.26E-06
5764.50244,4.32E-05,1.22E-06
5803.92773,4.25E-05,1.19E-06
5843.62256,4.19E-05,1.16E-06
5883.58936,4.13E-05,1.13E-06
5923.82861,4.07E-05,1.11E-06
5964.34375,4.01E-05,1.08E-06
6005.13574,3.95E-05,1.05E-06
6046.20654,3.89E-05,1.02E-06
6087.55811,3.83E-05,9.98E-07
6129.19336,3.78E-05,9.73E-07
