Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
250,0.014173931,0.005895462
251.068527,0.014070034,0.005834633
252.141632,0.013967096,0.00577443
253.219299,0.013865063,0.005714852
254.301575,0.013763753,0.005655889
255.388504,0.013663163,0.005597532
256.480042,0.013563654,0.005539779
257.576263,0.013464937,0.00548262
258.677185,0.013366919,0.005426048
259.782776,0.01326962,0.005370064
260.893127,0.013173599,0.005314657
262.008209,0.013078254,0.005259821
263.128082,0.012983575,0.005205551
264.252686,0.012889794,0.005151843
265.382141,0.012797258,0.005098687
266.516418,0.012705363,0.005046081
267.655518,0.012614109,0.004994019
268.7995,0.012524129,0.004942492
269.948395,0.012435369,0.004891494
271.102203,0.012347211,0.004841022
272.260895,0.01225966,0.004791072
273.424561,0.012177257,0.004739861
274.593201,0.01209686,0.004688617
275.766846,0.01201695,0.004637924
276.945496,0.011937524,0.004587783
278.129181,0.011854833,0.004531031
279.317932,0.011772648,0.004474912
280.51181,0.011691002,0.004419486
281.710724,0.011608991,0.004364748
282.914795,0.011524482,0.004310685
284.123993,0.011440572,0.004257294
285.338379,0.011357253,0.004204563
286.557953,0.011273839,0.004152484
287.782684,0.011190241,0.004101054
289.012726,0.011107245,0.004050258
290.247986,0.011024853,0.004000091
291.488525,0.010942301,0.003950547
292.734375,0.010860039,0.003901615
293.985565,0.010778383,0.003853287
295.242096,0.010697332,0.00380556
296.503998,0.010616094,0.003758425
297.771271,0.01053542,0.003711874
299.043976,0.010455347,0.0036659
300.322113,0.010375754,0.003620494
301.605743,0.010296213,0.003575648
302.894836,0.010217276,0.003531359
304.189423,0.010138937,0.003487618
305.489563,0.010060967,0.00344442
306.795258,0.009983282,0.003401761
308.106537,0.009906189,0.003359631
309.423431,0.009829686,0.003318021
310.745911,0.009753506,0.003276925
312.074066,0.009677772,0.003236337
313.407928,0.009602621,0.003196248
314.747467,0.009528048,0.003156658
316.092712,0.009453801,0.003117561
317.443726,0.009380098,0.003078946
318.800507,0.009306964,0.003040811
320.163086,0.009234377,0.003003148
321.531494,0.009162235,0.002965949
322.905792,0.009090651,0.002929212
324.285889,0.009019624,0.002892931
325.671936,0.008949179,0.002857098
327.063873,0.008879336,0.002821713
328.461792,0.008810031,0.002786764
329.865662,0.008741264,0.00275225
331.275543,0.008674313,0.002718161
332.691467,0.008608692,0.002684492
334.113434,0.008543558,0.002651241
335.541443,0.008478913,0.002618403
336.975586,0.008413706,0.002581831
338.415863,0.008348805,0.002545029
339.862274,0.008284401,0.002508753
341.31488,0.008220268,0.002472981
342.773712,0.00815426,0.002437614
344.238739,0.008088783,0.002402753
345.710083,0.008023827,0.002368388
347.187683,0.00795894,0.002334516
348.67157,0.007893631,0.002301127
350.161835,0.007828856,0.002268213
351.658478,0.007764611,0.002235772
353.161499,0.007700301,0.002203794
354.670898,0.007636061,0.002172273
356.186829,0.007572355,0.002141203
357.709198,0.007509181,0.002110577
359.238098,0.007445802,0.00208039
360.773499,0.007382774,0.002050636
362.315491,0.00732028,0.002021308
363.864075,0.007258285,0.001992398
365.419281,0.007196018,0.0019639
366.981079,0.007134286,0.001935811
368.549622,0.007073081,0.001908122
370.124817,0.007012172,0.001880831
371.706787,0.006951183,0.001853931
373.295471,0.006890724,0.001827416
374.890991,0.006830789,0.00180128
376.493317,0.006770556,0.001775518
378.102478,0.006710078,0.001750122
379.718536,0.006650137,0.00172509
381.341492,0.006590732,0.001700417
382.971375,0.006531482,0.001677647
384.608246,0.006472638,0.001655692
386.252106,0.006414322,0.001634024
387.902985,0.006356532,0.001612641
389.560913,0.006300305,0.001592195
391.225922,0.006244586,0.001572017
392.898071,0.006189359,0.001552093
394.577362,0.006134809,0.001532284
396.263824,0.006081385,0.001512257
397.957489,0.006028424,0.00149249
399.658417,0.005975924,0.001472983
401.366577,0.005923515,0.001453239
403.082062,0.005871143,0.001433198
404.804871,0.005819234,0.001413434
406.535065,0.005767783,0.001393941
408.272614,0.005716308,0.001374719
410.017639,0.005665088,0.001355761
411.770111,0.005614327,0.001337064
413.53006,0.00556402,0.001318626
415.297516,0.005513696,0.001300443
417.07254,0.005463796,0.001282509
418.855133,0.005414347,0.001264824
420.645386,0.005365262,0.001247382
422.443237,0.005316256,0.001230181
424.24881,0.005267695,0.001213216
426.062103,0.005219575,0.001196486
427.883148,0.005171719,0.001179985
429.711945,0.005124059,0.001163712
431.548584,0.005076834,0.001147664
433.393066,0.005030042,0.001131836
435.245422,0.004983401,0.001116227
437.105713,0.004937042,0.001100835
438.973969,0.00489111,0.001085653
440.850159,0.004845603,0.001070682
442.734406,0.004800148,0.001055918
444.626678,0.004755072,0.001041358
446.5271,0.004710415,0.001026998
448.435577,0.004666119,0.001012836
450.352264,0.004621875,0.000998868
452.2771,0.004578047,0.000985093
454.210175,0.004534629,0.000971509
456.15152,0.004491458,0.000958111
458.101166,0.004448423,0.000944899
460.059113,0.004405796,0.000931869
462.025452,0.004363571,0.000919019
464.000183,0.004321482,0.000906345
465.983398,0.004279624,0.000893846
467.975037,0.004238165,0.00088152
469.97522,0.004197101,0.000869363
471.983948,0.004156053,0.000857375
474.001251,0.004115329,0.000845551
476.027191,0.004074998,0.000833891
478.061768,0.004035017,0.000822392
480.105042,0.003994993,0.00081105
482.157074,0.003955357,0.000799865
484.217865,0.003916106,0.000788834
486.287445,0.003877092,0.000777951
488.365875,0.003838153,0.00076721
490.453217,0.003799595,0.000756616
492.549469,0.003761415,0.000746169
494.654694,0.003723308,0.000735844
496.76889,0.003685339,0.000725645
498.89212,0.003647747,0.000715588
501.024414,0.003610528,0.00070567
503.165833,0.003573223,0.00069589
505.316437,0.003536175,0.000686244
507.476196,0.003499501,0.000676733
509.645233,0.003463172,0.000667353
511.823486,0.003426647,0.000658104
514.011108,0.003390492,0.000648983
516.208008,0.003354705,0.000639988
518.414307,0.003319109,0.000631118
520.630127,0.003283419,0.00062237
522.855347,0.003248096,0.000613743
525.090027,0.003213138,0.000605236
527.334351,0.003178192,0.000596847
529.588196,0.003143281,0.000588575
531.851746,0.003108732,0.000580417
534.124939,0.003074545,0.000572372
536.407837,0.00304017,0.000564439
538.7005,0.003005978,0.000556616
541.002991,0.002972146,0.000548902
543.315308,0.002938672,0.000541294
545.637451,0.002904759,0.000533791
547.969604,0.002871198,0.000526392
550.311646,0.002837999,0.000519096
552.663757,0.002804958,0.000511901
