C,Density=2.2,
"Energy(eV),","Delta,",Beta
1000,0.00048155,4.81E-05
1006.83929,0.000474937,4.69E-05
1013.7254,0.000468415,4.57E-05
1020.65863,0.000461983,4.46E-05
1027.63916,0.000455641,4.34E-05
1034.66748,0.000449386,4.23E-05
1041.7439,0.000443217,4.12E-05
1048.86877,0.000437134,4.02E-05
1056.04236,0.000431124,3.92E-05
1063.26489,0.000425198,3.81E-05
1070.53687,0.000419348,3.72E-05
1077.85852,0.000413576,3.62E-05
1085.23035,0.000407883,3.53E-05
1092.65271,0.000402265,3.44E-05
1100.12561,0.000396725,3.35E-05
1107.64966,0.000391258,3.26E-05
1115.22534,0.000385866,3.18E-05
1122.85266,0.000380547,3.10E-05
1130.5321,0.0003753,3.02E-05
1138.26428,0.000370125,2.94E-05
1146.04919,0.000365021,2.86E-05
1153.88745,0.000359986,2.79E-05
1161.77917,0.00035502,2.72E-05
1169.72498,0.000350122,2.65E-05
1177.7251,0.000345292,2.58E-05
1185.77979,0.000340528,2.51E-05
1193.88977,0.000335829,2.45E-05
1202.05518,0.000331195,2.39E-05
1210.27637,0.000326626,2.32E-05
1218.55383,0.000322119,2.27E-05
1226.88794,0.000317675,2.21E-05
1235.27893,0.000313292,2.15E-05
1243.72742,0.000308971,2.09E-05
1252.23364,0.000304709,2.04E-05
1260.7981,0.000300506,1.99E-05
1269.42114,0.00029636,1.94E-05
1278.10303,0.00029227,1.89E-05
1286.84436,0.000288235,1.84E-05
1295.64551,0.000284256,1.79E-05
1304.50684,0.00028033,1.74E-05
1313.42871,0.000276458,1.70E-05
1322.41162,0.000272639,1.65E-05
1331.45605,0.000268872,1.61E-05
1340.56238,0.000265158,1.57E-05
1349.73083,0.000261494,1.53E-05
1358.96204,0.000257881,1.49E-05
1368.25647,0.000254318,1.45E-05
1377.61438,0.000250804,1.41E-05
1387.03625,0.000247338,1.37E-05
1396.52258,0.00024392,1.34E-05
1406.07397,0.000240549,1.30E-05
1415.69043,0.000237226,1.27E-05
1425.3728,0.000233948,1.23E-05
1435.12146,0.000230715,1.20E-05
1444.93665,0.000227527,1.17E-05
1454.81897,0.000224384,1.14E-05
1464.76892,0.000221284,1.11E-05
1474.78687,0.000218228,1.08E-05
1484.87341,0.000215213,1.05E-05
1495.02893,0.00021224,1.03E-05
1505.25391,0.000209309,9.99E-06
1515.54883,0.000206418,9.73E-06
1525.91406,0.000203567,9.47E-06
1536.35034,0.000200755,9.22E-06
1546.85791,0.000197982,8.98E-06
1557.43726,0.000195247,8.75E-06
1568.08911,0.00019255,8.52E-06
1578.81384,0.000189891,8.29E-06
1589.61182,0.000187268,8.08E-06
1600.48364,0.000184682,7.86E-06
1611.42981,0.000182131,7.66E-06
1622.45081,0.000179616,7.46E-06
