C,Density=2.2,
"Energy(eV),","Delta,",Beta
250,0.003669393,0.000240332
251.068527,0.003602366,0.000235909
252.141632,0.003532443,0.000231568
253.219299,0.003460545,0.000227307
254.301575,0.003389613,0.000223125
255.388504,0.003319632,0.000219019
256.480042,0.003243895,0.000214989
257.576263,0.003167538,0.000211032
258.677185,0.003092238,0.000207148
259.782776,0.003017562,0.000203336
260.893127,0.002932989,0.000199595
262.008209,0.002849628,0.000195922
263.128082,0.002767478,0.000192316
264.252686,0.002681898,0.000188778
265.382141,0.002585538,0.000185304
266.516418,0.002490629,0.000181894
267.655518,0.002397146,0.000178547
268.7995,0.002291107,0.000175262
269.948395,0.002173587,0.000172037
271.102203,0.00205791,0.000168871
272.260895,0.00194403,0.000165763
273.424561,0.001792044,0.000162713
274.593201,0.001629452,0.000159718
275.766846,0.001469477,0.000156779
276.945496,0.001312118,0.000153894
278.129181,0.000998566,0.000151062
279.317932,0.000688699,0.000148283
280.51181,0.00038399,0.000145554
281.710724,-0.000264084,0.000142876
282.914795,-0.002072367,0.000140246
284.123993,-0.003813229,0.000205903
285.338379,-0.001614141,0.00389511
286.557953,-6.48E-05,0.003841989
287.782684,0.000356309,0.003789594
289.012726,0.000770224,0.003737913
290.247986,0.001177128,0.003686936
291.488525,0.001416847,0.003636655
292.734375,0.001585544,0.003587059
293.985565,0.001751293,0.003538137
295.242096,0.001914092,0.003489884
296.503998,0.00201787,0.003442291
297.771271,0.002116339,0.003395345
299.043976,0.002212976,0.003349041
300.322113,0.002302782,0.003303367
301.605743,0.002368108,0.00325831
302.894836,0.002432149,0.00321387
304.189423,0.002494932,0.003170036
305.489563,0.002549695,0.003126802
306.795258,0.002593984,0.003084164
308.106537,0.002637336,0.003042108
309.423431,0.002679772,0.003000624
310.745911,0.002714416,0.002959703
312.074066,0.002744699,0.002919339
313.407928,0.002774278,0.002879523
314.747467,0.002803151,0.002840252
316.092712,0.002824801,0.002801515
317.443726,0.002845115,0.002763305
318.800507,0.002864875,0.002725618
320.163086,0.002883383,0.002688445
321.531494,0.002896728,0.002651778
322.905792,0.002909633,0.002615612
324.285889,0.00292211,0.00257994
325.671936,0.002932648,0.002544754
327.063873,0.002940229,0.002510054
328.461792,0.002947471,0.002475824
329.865662,0.002954376,0.002442063
331.275543,0.002959008,0.00240876
332.691467,0.002962108,0.002375906
334.113434,0.002964939,0.002343503
335.541443,0.002967509,0.002311542
336.975586,0.002967671,0.002280014
338.415863,0.002967224,0.002248917
339.862274,0.002966571,0.002218244
341.31488,0.002965542,0.002187989
342.773712,0.002962423,0.002158151
344.238739,0.002959145,0.00212872
345.710083,0.002955711,0.002099689
347.187683,0.002951574,0.002071055
348.67157,0.002946156,0.002042812
350.161835,0.002940618,0.002014952
351.658478,0.002934959,0.001987473
353.161499,0.002928411,0.001960369
354.670898,0.002921161,0.001933633
356.186829,0.00291382,0.001907263
357.709198,0.002906393,0.001881252
359.238098,0.002897984,0.001855595
360.773499,0.002889281,0.001830289
362.315491,0.002880516,0.001805328
363.864075,0.002871662,0.001780706
365.419281,0.002861914,0.00175642
366.981079,0.002852124,0.001732466
368.549622,0.002842296,0.001708837
370.124817,0.002832311,0.001685532
371.706787,0.002821985,0.001662545
373.295471,0.002811632,0.00163987
374.890991,0.002801249,0.001617506
376.493317,0.002790571,0.001594894
378.102478,0.002779619,0.001572079
379.718536,0.002768649,0.001549591
381.341492,0.002757666,0.001527425
382.971375,0.002745748,0.001505097
384.608246,0.002733527,0.001482939
386.252106,0.002721318,0.001461107
387.902985,0.002709117,0.001439597
389.560913,0.002695734,0.001418404
391.225922,0.002682369,0.001397523
392.898071,0.002669038,0.001376948
394.577362,0.002655566,0.001356677
396.263824,0.002641545,0.001336704
397.957489,0.002627572,0.001317025
399.658417,0.002613644,0.001297636
401.366577,0.002599463,0.001278533
403.082062,0.00258499,0.001259709
404.804871,0.002570575,0.001241164
406.535065,0.002556218,0.00122289
408.272614,0.002541534,0.001204887
410.017639,0.002526752,0.001187148
411.770111,0.002512039,0.00116967
413.53006,0.002497392,0.00115245
415.297516,0.002482363,0.001135484
417.07254,0.00246738,0.001118767
418.855133,0.002452473,0.001102298
420.645386,0.002437565,0.00108607
422.443237,0.002422393,0.00107008
424.24881,0.002407303,0.001054326
426.062103,0.002392293,0.001038804
427.883148,0.002377212,0.001023509
429.711945,0.002362,0.001008441
431.548584,0.002346874,0.000993594
433.393066,0.002331836,0.000978965
435.245422,0.00231667,0.000964553
437.105713,0.002301481,0.000950353
438.973969,0.002286383,0.000936361
440.850159,0.002271375,0.000922577
442.734406,0.002256201,0.000908995
444.626678,0.002241092,0.000895612
446.5271,0.002226075,0.000882427
448.435577,0.002211118,0.000869436
450.352264,0.002196032,0.000856635
452.2771,0.002181043,0.000844024
454.210175,0.00216615,0.000831598
456.15152,0.002151269,0.000819354
458.101166,0.002136342,0.000807293
460.059113,0.002121513,0.000795409
462.025452,0.002106783,0.000783699
464.000183,0.002092028,0.000772161
465.983398,0.002077295,0.000760793
467.975037,0.002062662,0.000749592
469.97522,0.002048127,0.000738556
471.983948,0.002033548,0.000727684
474.001251,0.002019043,0.000716971
476.027191,0.002004638,0.000706417
478.061768,0.001990322,0.000696017
480.105042,0.001976003,0.000685762
482.157074,0.001961783,0.000675659
484.217865,0.001947662,0.000665704
486.287445,0.001933583,0.000655854
488.365875,0.001919487,0.00064606
490.453217,0.001905489,0.000636412
492.549469,0.001891592,0.000626908
494.654694,0.001877681,0.000617546
496.76889,0.001863781,0.000608324
498.89212,0.001849982,0.000599239
501.024414,0.001836283,0.00059029
503.165833,0.001822563,0.000581475
505.316437,0.001808912,0.00057279
507.476196,0.001795361,0.000564236
509.645233,0.001781906,0.000555809
511.823486,0.001768424,0.000547509
514.011108,0.001755042,0.000539333
516.208008,0.001741761,0.000531279
518.414307,0.001728546,0.000523345
520.630127,0.001715347,0.000515529
522.855347,0.001702247,0.00050783
525.090027,0.001689247,0.000500246
527.334351,0.001676291,0.000492775
529.588196,0.001663384,0.000485416
531.851746,0.001650576,0.000478166
534.124939,0.001637865,0.000471025
536.407837,0.001625182,0.00046399
538.7005,0.001612573,0.000457061
541.002991,0.00160006,0.000450236
543.315308,0.001587645,0.000443512
545.637451,0.001575243,0.000436888
547.969604,0.001562935,0.000430363
550.311646,0.001550724,0.000423936
552.663757,0.001538589,0.000417605
555.025879,0.001526492,0.000411369
557.398071,0.00151449,0.000405225
559.780457,0.001502581,0.000399174
562.173035,0.001490733,0.000393213
564.575867,0.001478942,0.000387339
566.988892,0.001467244,0.000381554
569.412231,0.001455638,0.000375856
571.845947,0.00144408,0.000370242
574.2901,0.001432596,0.000364713
576.74469,0.001421203,0.000359267
579.209717,0.0014099,0.000353902
581.685364,0.001398634,0.000348617
584.171509,0.001387455,0.000343411
586.668335,0.001376364,0.000338283
589.175842,0.001365353,0.000333231
591.69397,0.00135439,0.000328255
594.222961,0.001343514,0.000323352
596.762695,0.001332726,0.000318523
599.313354,0.001322004,0.000313766
601.874878,0.001311343,0.00030908
604.447388,0.001300766,0.000304464
607.030823,0.001290275,0.000299917
609.625366,0.001279842,0.000295438
612.230957,0.001269478,0.000291026
614.847656,0.001259198,0.00028668
617.475647,0.001249001,0.000282399
620.114746,0.001238854,0.000278182
622.765198,0.001228785,0.000274027
625.426941,0.001218798,0.000269934
628.100098,0.001208887,0.000265903
630.784607,0.001199027,0.000261932
633.480652,0.001189248,0.00025802
636.188293,0.001179547,0.000254167
638.907349,0.001169915,0.000250372
641.638184,0.00116034,0.000246632
