Energy (keV),theta rms (microrad),z_src (m),theta_fwhm (microrad),theta half angle 1/e^2 (microrad),wavelength (microns),source size 1/e^2 (microns)
1.03,6.33,-56.6,14.90601089,12.66,0.001203689,30.26431363
1.44,5.01,-60.3,11.79764843,10.02,0.000860972,27.35089522
1.85,4.16,-61.9,9.796051387,8.32,0.000670162,25.63933192
2.27,3.54,-61.5,8.336062959,7.08,0.000546167,24.555153
2.68,3.09,-61.1,7.276393939,6.18,0.000462612,23.82750066
3.09,2.75,-60.7,6.475755124,5.5,0.00040123,23.22098246
3.51,2.48,-60.2,5.839953712,4.96,0.000353219,22.6679876
3.92,2.26,-59.7,5.321893302,4.52,0.000316276,22.27292515
4.33,2.08,-58.8,4.898025694,4.16,0.000286328,21.90889794
4.75,1.93,-58.3,4.544802687,3.86,0.000261011,21.52389402
5.16,1.79,-57.5,4.215127881,3.58,0.000240271,21.36333403
5.57,1.68,-56.7,3.956097676,3.36,0.000222585,21.0866353
5.99,1.58,-56.2,3.720615671,3.16,0.000206978,20.84912602
6.4,1.49,-55.5,3.508681867,2.98,0.000193719,20.69214539
6.81,1.42,-54.8,3.343844464,2.84,0.000182056,20.40498629
7.23,1.35,-54.3,3.179007061,2.7,0.00017148,20.21620803
7.64,1.29,-53.6,3.037717858,2.58,0.000162277,20.02113503
8.05,1.23,-52.9,2.896428655,2.46,0.000154012,19.92832383
8.47,1.18,-52.3,2.778687653,2.36,0.000146375,19.7426909
8.88,1.13,-51.7,2.660946651,2.26,0.000139617,19.66438436
9.29,1.09,-51.1,2.566753849,2.18,0.000133455,19.48630751
9.71,1.05,-50.5,2.472561047,2.1,0.000127683,19.35366568
10.12,1.01,-49.9,2.378368245,2.02,0.00012251,19.30500317
10.53,0.98,-49.3,2.307723644,1.96,0.00011774,19.12129566
10.95,0.94,-48.8,2.213530842,1.88,0.000113224,19.17033891
11.36,0.91,-48.2,2.142886241,1.82,0.000109137,19.08763141
11.77,0.89,-47.7,2.09578984,1.78,0.000105336,18.83672052
12.19,0.86,-47.1,2.025145239,1.72,0.000101706,18.82216632
12.6,0.84,-46.6,1.978048838,1.68,9.83968E-05,18.64326327
13.01,0.81,-46.1,1.907404236,1.62,9.52959E-05,18.72446631
13.43,0.79,-45.6,1.860307836,1.58,9.23157E-05,18.59810348
13.84,0.77,-45.1,1.813211435,1.54,8.95809E-05,18.51590519
14.25,0.75,-44.6,1.766115034,1.5,8.70035E-05,18.46271798
14.67,0.73,-44,1.719018633,1.46,8.45126E-05,18.42547912
15.08,0.72,-43.5,1.695470432,1.44,8.22149E-05,18.17347282
15.49,0.7,-43,1.648374032,1.4,8.00387E-05,18.19794323
15.91,0.68,-42.5,1.601277631,1.36,7.79258E-05,18.23864924
16.32,0.67,-42.1,1.57772943,1.34,7.59681E-05,18.0458277
16.73,0.65,-41.5,1.530633029,1.3,7.41064E-05,18.14522952
17.15,0.64,-41,1.507084829,1.28,7.22915E-05,17.97743244
17.56,0.63,-40.6,1.483536628,1.26,7.06036E-05,17.83637944
17.97,0.61,-40.2,1.436440227,1.22,6.89928E-05,18.00088476
18.39,0.6,-39.7,1.412892027,1.2,6.74171E-05,17.88293442
18.8,0.59,-39.2,1.389343827,1.18,6.59468E-05,17.78942467
19.21,0.58,-38.8,1.365795626,1.16,6.45393E-05,17.70991208
19.63,0.57,-38.3,1.342247426,1.14,6.31584E-05,17.63504647
20.04,0.56,-37.8,1.318699225,1.12,6.18663E-05,17.58271835
20.45,0.55,-37.4,1.295151025,1.1,6.06259E-05,17.54348064
20.87,0.54,-37,1.271602824,1.08,5.94058E-05,17.50876665
21.28,0.53,-36.5,1.248054624,1.06,5.82613E-05,17.49541588
21.69,0.52,-35.9,1.224506423,1.04,5.716E-05,17.49479541
22.11,0.51,-35.4,1.200958223,1.02,5.60742E-05,17.49898444
22.52,0.51,-34.9,1.200958223,1.02,5.50533E-05,17.18039725
22.93,0.5,-34.3,1.177410023,1,5.40689E-05,17.21066711
23.35,0.49,-33.8,1.153861822,0.98,5.30964E-05,17.24601656
23.76,0.48,-33.2,1.130313622,0.96,5.21801E-05,17.30151326
24.17,0.48,-32.6,1.130313622,0.96,5.1295E-05,17.00802462
24.59,0.47,-32.1,1.106765421,0.94,5.04189E-05,17.07321766
25,0.46,-31.5,1.083217221,0.92,0.000049592,17.15828682
