Ni,Density=8.902,
"Energy(eV),","Delta,",Beta
1000,0.001142284,0.000916713
1006.83929,0.001155031,0.000923558
1013.7254,0.001167223,0.000930453
1020.65863,0.001181661,0.000918095
1027.63916,0.001196718,0.000897524
1034.66748,0.001206377,0.000877294
1041.7439,0.001206311,0.000857289
1048.86877,0.001206027,0.00083774
1056.04236,0.001203807,0.000818503
1063.26489,0.001201397,0.000799706
1070.53687,0.00119779,0.000781335
1077.85852,0.001193455,0.000763385
1085.23035,0.001188667,0.000745846
1092.65271,0.001182877,0.00072871
1100.12561,0.001177026,0.000711967
1107.64966,0.001170219,0.000695606
1115.22534,0.001163305,0.00067962
1122.85266,0.001155913,0.000664004
1130.5321,0.001148168,0.000648747
1138.26428,0.00114028,0.00063384
1146.04919,0.001131881,0.000619278
1153.88745,0.001123501,0.000605051
1161.77917,0.001114673,0.00059115
1169.72498,0.001105803,0.000577568
1177.7251,0.001096733,0.000564298
1185.77979,0.00108748,0.000551332
1193.88977,0.001078216,0.000538665
1202.05518,0.001068672,0.000526288
1210.27637,0.001059189,0.000514196
1218.55383,0.001049503,0.000502381
1226.88794,0.00103982,0.000490837
1235.27893,0.00103008,0.000479543
1243.72742,0.001020256,0.000468488
1252.23364,0.001010485,0.000457685
1260.7981,0.001000542,0.000447096
1269.42114,0.000990684,0.000436752
1278.10303,0.000980713,0.000426614
1286.84436,0.000970761,0.000416698
1295.64551,0.000960805,0.000407013
1304.50684,0.000950793,0.000397553
1313.42871,0.00094087,0.000388312
1322.41162,0.000930846,0.000379286
1331.45605,0.000920921,0.00037047
1340.56238,0.000910975,0.000361857
1349.73083,0.000901073,0.000353445
1358.96204,0.000891223,0.000345229
1368.25647,0.00088137,0.000337204
1377.61438,0.00087162,0.000329366
1387.03625,0.000861842,0.000321711
1396.52258,0.000852164,0.000314233
1406.07397,0.00084252,0.000306929
1415.69043,0.000832935,0.000299794
1425.3728,0.000823431,0.000292826
1435.12146,0.000813957,0.000286019
1444.93665,0.00080459,0.00027937
1454.81897,0.000795267,0.000272862
1464.76892,0.000786043,0.000266504
1474.78687,0.000776879,0.000260279
1484.87341,0.000767784,0.000254188
1495.02893,0.000758776,0.000248221
1505.25391,0.000749803,0.000242316
1515.54883,0.000740935,0.000236551
1525.91406,0.000732055,0.000230914
1536.35034,0.000723258,0.000225408
1546.85791,0.000714519,0.000220035
1557.43726,0.000705835,0.00021479
1568.08911,0.000697245,0.00020967
1578.81384,0.000688693,0.000204671
1589.61182,0.000680245,0.000199792
1600.48364,0.000671845,0.000195028
1611.42981,0.000663534,0.000190378
1622.45081,0.000655299,0.000185838
1633.54736,0.000647133,0.000181406
1644.71973,0.000639063,0.00017708
1655.96838,0.000631046,0.000172858
1667.29419,0.000623128,0.000168736
1678.69727,0.000615277,0.000164714
1690.17834,0.000607512,0.000160787
1701.73804,0.000599834,0.000156954
1713.37671,0.000592234,0.000153213
1725.09509,0.000584729,0.000149562
1736.89355,0.000577286,0.000145967
1748.77258,0.000569938,0.000142459
1760.73303,0.000562652,0.00013903
1772.77527,0.000555444,0.00013568
1784.89978,0.000548313,0.000132408
1797.10718,0.00054124,0.000129211
1809.39832,0.000534258,0.000126092
1821.77332,0.000527334,0.000123047
1834.23291,0.000520497,0.000120077
1846.77783,0.00051373,0.000117178
1859.40845,0.000507039,0.000114349
1872.12561,0.000500428,0.000111588
1884.92969,0.000493882,0.000108893
1897.82117,0.000487422,0.000106264
1910.80103,0.000481026,0.000103699
1923.86963,0.000474711,0.000101196
1937.02759,0.000468466,9.88E-05
1950.27539,0.000462293,9.64E-05
1963.61401,0.000456198,9.40E-05
1977.0437,0.000450168,9.18E-05
1990.56543,0.000444218,8.96E-05
2004.17944,0.000438337,8.74E-05
2017.8866,0.000432532,8.53E-05
2031.6875,0.000426799,8.33E-05
2045.58301,0.000421136,8.12E-05
2059.57349,0.000415547,7.93E-05
2073.65942,0.000410018,7.73E-05
2087.8418,0.000404563,7.55E-05
2102.12109,0.000399166,7.36E-05
2116.49829,0.000393835,7.18E-05
2130.97363,0.000388571,7.01E-05
2145.5481,0.00038337,6.84E-05
2160.22217,0.000378237,6.67E-05
2174.99634,0.000373161,6.51E-05
2189.87207,0.000368153,6.35E-05
2204.84912,0.000363206,6.20E-05
2219.92871,0.000358322,6.05E-05
2235.11157,0.0003535,5.90E-05
2250.39819,0.000348737,5.76E-05
2265.78931,0.000344039,5.62E-05
2281.28564,0.000339393,5.48E-05
2296.88818,0.000334811,5.34E-05
2312.59717,0.000330285,5.21E-05
2328.41406,0.000325817,5.09E-05
2344.33862,0.000321407,4.96E-05
2360.37231,0.000317051,4.84E-05
2376.51562,0.000312755,4.72E-05
2392.76929,0.000308511,4.61E-05
2409.13403,0.000304325,4.50E-05
2425.61108,0.000300192,4.39E-05
2442.20068,0.000296111,4.28E-05
2458.90356,0.000292085,4.17E-05
2475.7207,0.00028811,4.07E-05
2492.65283,0.000284188,3.97E-05
2509.70093,0.000280316,3.88E-05
2526.86548,0.000276497,3.78E-05
2544.14746,0.000272726,3.69E-05
2561.54785,0.000269005,3.60E-05
2579.06689,0.000265333,3.51E-05
2596.70605,0.000261708,3.42E-05
2614.46582,0.000258133,3.34E-05
2632.34692,0.000254603,3.26E-05
2650.35034,0.000251121,3.18E-05
2668.47681,0.000247686,3.10E-05
2686.72754,0.000244295,3.02E-05
2705.10278,0.00024095,2.95E-05
2723.60376,0.000237648,2.88E-05
2742.23145,0.000234392,2.81E-05
2760.98633,0.000231178,2.74E-05
2779.86963,0.000228007,2.67E-05
2798.88208,0.000224879,2.61E-05
2818.02441,0.000221792,2.54E-05
2837.29761,0.000218747,2.48E-05
2856.70288,0.000215742,2.42E-05
2876.24072,0.000212778,2.36E-05
2895.91211,0.000209854,2.30E-05
2915.71826,0.000206968,2.24E-05
2935.65991,0.000204122,2.19E-05
2955.73755,0.000201314,2.14E-05
2975.95288,0.000198544,2.08E-05
2996.3064,0.000195811,2.03E-05
3016.79907,0.000193115,1.98E-05
3037.43164,0.000190456,1.93E-05
3058.20581,0.000187832,1.89E-05
3079.12183,0.000185244,1.84E-05
3100.18091,0.000182691,1.79E-05
3121.38379,0.000180173,1.75E-05
3142.73218,0.000177689,1.71E-05
3164.22607,0.000175238,1.66E-05
3185.86719,0.000172821,1.62E-05
3207.65649,0.000170436,1.58E-05
3229.59448,0.000168084,1.54E-05
3251.68286,0.000165764,1.51E-05
3273.92188,0.000163475,1.47E-05
3296.31323,0.000161217,1.43E-05
3318.85791,0.000158991,1.40E-05
3341.55664,0.000156795,1.36E-05
3364.4104,0.000154628,1.33E-05
3387.42065,0.000152492,1.30E-05
3410.58838,0.000150384,1.26E-05
3433.91431,0.000148305,1.23E-05
3457.40015,0.000146254,1.20E-05
3481.04614,0.000144232,1.17E-05
3504.85425,0.000142237,1.14E-05
3528.82495,0.000140269,1.12E-05
3552.95972,0.000138329,1.09E-05
3577.25952,0.000136415,1.06E-05
3601.72559,0.000134527,1.04E-05
3626.35864,0.000132665,1.01E-05
3651.1604,0.000130828,9.84E-06
3676.13208,0.000129017,9.60E-06
3701.27417,0.00012723,9.36E-06
3726.58813,0.000125468,9.13E-06
3752.07568,0.00012373,8.91E-06
3777.73706,0.000122016,8.69E-06
3803.57422,0.000120325,8.47E-06
3829.58813,0.000118658,8.26E-06
3855.77979,0.000117013,8.06E-06
3882.15088,0.000115391,7.86E-06
3908.7019,0.000113792,7.66E-06
3935.43481,0.000112214,7.47E-06
3962.35034,0.000110658,7.29E-06
3989.4502,0.000109123,7.11E-06
4016.73511,0.00010761,6.93E-06
4044.20703,0.000106117,6.76E-06
4071.86646,0.000104645,6.59E-06
4099.71533,0.000103193,6.43E-06
4127.75488,0.00010176,6.27E-06
4155.98535,0.000100348,6.11E-06
4184.40967,9.90E-05,5.96E-06
4213.02783,9.76E-05,5.81E-06
4241.84229,9.62E-05,5.67E-06
4270.85352,9.49E-05,5.53E-06
4300.06299,9.36E-05,5.39E-06
4329.47266,9.23E-05,5.25E-06
4359.08301,9.10E-05,5.12E-06
4388.89648,8.97E-05,5.00E-06
4418.91357,8.85E-05,4.87E-06
4449.13574,8.72E-05,4.75E-06
4479.56445,8.60E-05,4.63E-06
4510.20215,8.48E-05,4.52E-06
4541.04834,8.37E-05,4.40E-06
4572.10645,8.25E-05,4.30E-06
4603.37646,8.13E-05,4.19E-06
4634.85986,8.02E-05,4.08E-06
4666.55908,7.91E-05,3.98E-06
4698.47559,7.80E-05,3.88E-06
4730.60986,7.69E-05,3.79E-06
4762.96387,7.58E-05,3.69E-06
4795.53955,7.48E-05,3.60E-06
4828.3374,7.37E-05,3.51E-06
4861.35986,7.27E-05,3.42E-06
4894.60791,7.17E-05,3.34E-06
4928.08398,7.07E-05,3.25E-06
4961.78857,6.97E-05,3.17E-06
4995.72363,6.87E-05,3.09E-06
