Pt,Density=21.45,
"Energy(eV),","Delta,",Beta
1000,0.002276911,0.001016085
1006.83929,0.002250671,0.000996348
1013.7254,0.002224637,0.000976744
1020.65863,0.002198875,0.00095747
1027.63916,0.002173214,0.000938107
1034.66748,0.002147753,0.000919135
1041.7439,0.002122224,0.000900544
1048.86877,0.00209689,0.000882328
1056.04236,0.002071682,0.000864481
1063.26489,0.002046651,0.000846997
1070.53687,0.002021817,0.000829868
1077.85852,0.001997143,0.000813084
1085.23035,0.001972714,0.000796638
1092.65271,0.001948421,0.000780526
1100.12561,0.001924395,0.000764741
1107.64966,0.001900514,0.000749274
1115.22534,0.00187689,0.000734118
1122.85266,0.001853446,0.000719268
1130.5321,0.001830234,0.00070472
1138.26428,0.00180723,0.000690469
1146.04919,0.001784436,0.000676505
1153.88745,0.001761874,0.000662824
1161.77917,0.001739504,0.000649417
1169.72498,0.001717389,0.000636281
1177.7251,0.001695446,0.000623414
1185.77979,0.001673764,0.000610807
1193.88977,0.001652265,0.00059845
1202.05518,0.001631014,0.000586344
1210.27637,0.001609967,0.000574486
1218.55383,0.001589153,0.000562868
1226.88794,0.001568565,0.000551484
1235.27893,0.001548219,0.000540329
1243.72742,0.001528121,0.000529399
1252.23364,0.00150824,0.000518566
1260.7981,0.001488607,0.000507926
1269.42114,0.001469029,0.000497407
1278.10303,0.001449681,0.000487103
1286.84436,0.001430461,0.000477014
1295.64551,0.001411443,0.000467134
1304.50684,0.001392575,0.000457458
1313.42871,0.001373897,0.000447982
1322.41162,0.001355408,0.000438701
1331.45605,0.001337087,0.000429615
1340.56238,0.001318976,0.000420718
1349.73083,0.001301013,0.000412003
1358.96204,0.001283274,0.000403468
1368.25647,0.001265669,0.000395111
1377.61438,0.001248284,0.000386927
1387.03625,0.00123105,0.000378913
1396.52258,0.001214014,0.000371065
1406.07397,0.001197146,0.000363378
1415.69043,0.001180454,0.000355851
1425.3728,0.001163947,0.000348482
1435.12146,0.001147594,0.000341263
1444.93665,0.001131442,0.000334193
1454.81897,0.001115418,0.000327271
1464.76892,0.001099606,0.000320494
1474.78687,0.001083972,0.000313853
1484.87341,0.001068535,0.000307338
1495.02893,0.001053245,0.000300918
1505.25391,0.001038105,0.000294602
1515.54883,0.001023091,0.000288377
1525.91406,0.001008188,0.000282284
1536.35034,0.00099343,0.000276321
1546.85791,0.000978777,0.000270483
1557.43726,0.000964306,0.000264768
1568.08911,0.00094991,0.000259175
1578.81384,0.000935702,0.0002537
1589.61182,0.000921574,0.000248339
1600.48364,0.000907612,0.000243092
1611.42981,0.000893751,0.000237956
1622.45081,0.000880024,0.000232928
1633.54736,0.00086642,0.000228007
1644.71973,0.000852917,0.000223189
1655.96838,0.000839562,0.000218474
1667.29419,0.000826269,0.000213858
1678.69727,0.00081315,0.00020934
1690.17834,0.000800049,0.000204917
1701.73804,0.000787119,0.000200587
1713.37671,0.000774228,0.000196349
1725.09509,0.000761481,0.000192201
1736.89355,0.000748816,0.00018814
1748.77258,0.00073623,0.000184141
1760.73303,0.00072373,0.000180203
1772.77527,0.000711229,0.000176322
1784.89978,0.000698841,0.000172511
1797.10718,0.000686378,0.000168783
1809.39832,0.000674066,0.000165136
1821.77332,0.000661625,0.000161567
1834.23291,0.000649316,0.000158076
1846.77783,0.000636905,0.00015466
1859.40845,0.000624539,0.000151318
1872.12561,0.000612112,0.000148047
1884.92969,0.000599612,0.000144847
1897.82117,0.000587107,0.000141717
1910.80103,0.000574369,0.000138655
1923.86963,0.000561698,0.000135658
1937.02759,0.000548567,0.000132727
1950.27539,0.000535539,0.000129859
1963.61401,0.000521859,0.000127052
1977.0437,0.000508124,0.000124307
1990.56543,0.000493698,0.000121621
2004.17944,0.000478796,0.000118993
2017.8866,0.000463169,0.000116421
2031.6875,0.00044621,0.000113906
2045.58301,0.000428517,0.000111445
2059.57349,0.000407384,0.000109008
2073.65942,0.000385626,0.000106617
2087.8418,0.00035256,0.00010426
2102.12109,0.000297139,0.000101955
2116.49829,8.04E-05,9.97E-05
2130.97363,0.000242623,0.000274151
2145.5481,0.000288578,0.000267941
2160.22217,0.00031225,0.000261871
2174.99634,0.000311695,0.000255938
2189.87207,0.000227371,0.00025014
2204.84912,0.000203736,0.000361259
2219.92871,0.000313427,0.000352895
2235.11157,0.000353999,0.000344725
