Rh,Density=12.41,
"Energy(eV),","Delta,",Beta
1000,0.001879268,0.00075863
1006.83929,0.001857011,0.000742189
1013.7254,0.001835012,0.000726106
1020.65863,0.001813131,0.000710187
1027.63916,0.001791444,0.000694538
1034.66748,0.001769936,0.000679214
1041.7439,0.001748535,0.000664193
1048.86877,0.001727389,0.000649503
1056.04236,0.001706259,0.000635087
1063.26489,0.00168538,0.00062099
1070.53687,0.001664634,0.000607204
1077.85852,0.001644072,0.000593722
1085.23035,0.001623718,0.00058054
1092.65271,0.001603502,0.000567652
1100.12561,0.001583537,0.000555051
1107.64966,0.001563694,0.000542728
1115.22534,0.001544087,0.000530679
1122.85266,0.001524657,0.000518898
1130.5321,0.001505421,0.000507378
1138.26428,0.001486402,0.000496114
1146.04919,0.001467536,0.000485102
1153.88745,0.001448908,0.000474335
1161.77917,0.001430434,0.000463805
1169.72498,0.001412182,0.000453508
1177.7251,0.001394115,0.00044344
1185.77979,0.001376235,0.000433595
1193.88977,0.001358571,0.000423968
1202.05518,0.001341066,0.000414556
1210.27637,0.001323786,0.000405353
1218.55383,0.001306666,0.000396354
1226.88794,0.001289751,0.000387556
1235.27893,0.001273025,0.000378955
1243.72742,0.001256476,0.000370546
1252.23364,0.001240136,0.000362324
1260.7981,0.001223951,0.000354292
1269.42114,0.001207977,0.000346437
1278.10303,0.001192175,0.000338761
1286.84436,0.001176567,0.000331256
1295.64551,0.001161144,0.000323917
1304.50684,0.001145894,0.000316739
1313.42871,0.001130842,0.00030972
1322.41162,0.001115944,0.000302859
1331.45605,0.001101241,0.00029615
1340.56238,0.001086705,0.000289589
1349.73083,0.001072348,0.000283174
1358.96204,0.001058168,0.0002769
1368.25647,0.001044151,0.000270763
1377.61438,0.00103032,0.000264762
1387.03625,0.001016637,0.000258896
1396.52258,0.001003135,0.00025316
1406.07397,0.000989795,0.000247551
1415.69043,0.00097662,0.000242066
1425.3728,0.000963616,0.000236703
1435.12146,0.000950769,0.000231459
1444.93665,0.000938094,0.00022633
1454.81897,0.000925581,0.000221304
1464.76892,0.000913233,0.000216388
1474.78687,0.000901049,0.00021157
1484.87341,0.000889027,0.00020685
1495.02893,0.000877155,0.000202219
1505.25391,0.000865399,0.000197625
1515.54883,0.000853802,0.000193135
1525.91406,0.000842303,0.000188738
1536.35034,0.000830949,0.00018444
1546.85791,0.000819722,0.00018024
1557.43726,0.000808619,0.000176137
1568.08911,0.000797661,0.000172127
1578.81384,0.000786819,0.000168208
1589.61182,0.000776123,0.000164379
1600.48364,0.000765548,0.000160637
1611.42981,0.000755109,0.000156979
1622.45081,0.000744799,0.000153404
1633.54736,0.000734612,0.00014991
1644.71973,0.000724562,0.000146495
1655.96838,0.000714624,0.000143159
1667.29419,0.000704822,0.0001399
1678.69727,0.000695136,0.000136714
1690.17834,0.000685577,0.000133601
1701.73804,0.000676147,0.000130559
1713.37671,0.000666842,0.000127586
1725.09509,0.000657665,0.00012468
1736.89355,0.000648589,0.000121808
1748.77258,0.000639637,0.000119002
1760.73303,0.000630784,0.000116254
