SiC,Density=3.217,
"Energy(eV),","Delta,",Beta
1000,0.000643152,5.67E-05
1006.83929,0.00063409,5.52E-05
1013.7254,0.000625152,5.38E-05
1020.65863,0.000616336,5.24E-05
1027.63916,0.000607636,5.10E-05
1034.66748,0.000599059,4.97E-05
1041.7439,0.000590591,4.84E-05
1048.86877,0.000582242,4.71E-05
1056.04236,0.000573996,4.59E-05
1063.26489,0.000565861,4.47E-05
1070.53687,0.000557833,4.35E-05
1077.85852,0.000549906,4.24E-05
1085.23035,0.00054209,4.13E-05
1092.65271,0.00053436,4.02E-05
1100.12561,0.000526739,3.92E-05
1107.64966,0.000519235,3.82E-05
1115.22534,0.000511844,3.73E-05
1122.85266,0.000504557,3.63E-05
1130.5321,0.000497376,3.54E-05
1138.26428,0.000490296,3.45E-05
1146.04919,0.000483313,3.37E-05
1153.88745,0.000476429,3.28E-05
1161.77917,0.000469639,3.20E-05
1169.72498,0.000462944,3.12E-05
1177.7251,0.000456343,3.04E-05
1185.77979,0.000449831,2.97E-05
1193.88977,0.000443412,2.89E-05
1202.05518,0.000437078,2.82E-05
1210.27637,0.000430831,2.75E-05
1218.55383,0.00042467,2.68E-05
1226.88794,0.000418591,2.61E-05
1235.27893,0.000412599,2.55E-05
1243.72742,0.000406683,2.49E-05
1252.23364,0.000400851,2.42E-05
1260.7981,0.000395095,2.36E-05
1269.42114,0.000389419,2.30E-05
1278.10303,0.000383819,2.24E-05
1286.84436,0.000378292,2.19E-05
1295.64551,0.000372843,2.13E-05
1304.50684,0.000367458,2.08E-05
1313.42871,0.000362151,2.03E-05
1322.41162,0.000356909,1.98E-05
1331.45605,0.000351738,1.93E-05
1340.56238,0.000346636,1.88E-05
1349.73083,0.000341597,1.83E-05
1358.96204,0.000336632,1.78E-05
1368.25647,0.00033172,1.74E-05
1377.61438,0.000326879,1.69E-05
1387.03625,0.000322096,1.65E-05
1396.52258,0.000317375,1.61E-05
1406.07397,0.000312717,1.57E-05
1415.69043,0.000308111,1.53E-05
1425.3728,0.000303573,1.49E-05
1435.12146,0.000299079,1.45E-05
1444.93665,0.000294649,1.42E-05
1454.81897,0.000290269,1.38E-05
1464.76892,0.000285942,1.35E-05
1474.78687,0.000281672,1.31E-05
1484.87341,0.000277441,1.28E-05
1495.02893,0.000273273,1.25E-05
1505.25391,0.000269137,1.21E-05
1515.54883,0.000265058,1.18E-05
1525.91406,0.000261017,1.15E-05
1536.35034,0.000257016,1.12E-05
1546.85791,0.000253067,1.09E-05
1557.43726,0.000249136,1.07E-05
1568.08911,0.000245264,1.04E-05
1578.81384,0.000241404,1.01E-05
1589.61182,0.000237592,9.85E-06
1600.48364,0.000233805,9.60E-06
1611.42981,0.000230039,9.35E-06
1622.45081,0.000226322,9.11E-06
1633.54736,0.000222582,8.87E-06
1644.71973,0.000218902,8.65E-06
1655.96838,0.000215193,8.42E-06
1667.29419,0.000211514,8.21E-06
1678.69727,0.000207833,7.99E-06
1690.17834,0.000204115,7.79E-06
1701.73804,0.000200452,7.59E-06
1713.37671,0.000196629,7.39E-06
1725.09509,0.000192874,7.20E-06
1736.89355,0.000188933,7.01E-06
1748.77258,0.000184948,6.83E-06
1760.73303,0.000180811,6.65E-06
1772.77527,0.000176294,6.48E-06
1784.89978,0.000171866,6.31E-06
1797.10718,0.00016581,6.14E-06
1809.39832,0.000159839,5.98E-06
1821.77332,0.000137118,5.82E-06
1834.23291,0.000101502,5.67E-06
1846.77783,0.000143306,4.23E-05
1859.40845,0.000149289,4.14E-05
1872.12561,0.000151996,4.04E-05
1884.92969,0.000154454,3.95E-05
1897.82117,0.000155588,3.86E-05
1910.80103,0.000155854,3.77E-05
1923.86963,0.000155909,3.68E-05
1937.02759,0.000155401,3.60E-05
1950.27539,0.000154879,3.51E-05
1963.61401,0.000154021,3.43E-05
1977.0437,0.000153119,3.35E-05
1990.56543,0.000152095,3.28E-05
2004.17944,0.000150972,3.20E-05
2017.8866,0.000149825,3.13E-05
2031.6875,0.000148563,3.05E-05
2045.58301,0.000147308,2.98E-05
2059.57349,0.000145975,2.91E-05
2073.65942,0.000144633,2.85E-05
2087.8418,0.000143263,2.78E-05
2102.12109,0.000141864,2.72E-05
2116.49829,0.000140469,2.65E-05
2130.97363,0.000139031,2.59E-05
2145.5481,0.000137606,2.53E-05
2160.22217,0.000136156,2.47E-05
2174.99634,0.000134709,2.41E-05
2189.87207,0.000133259,2.35E-05
2204.84912,0.0001318,2.30E-05
2219.92871,0.000130355,2.24E-05
2235.11157,0.000128893,2.19E-05
2250.39819,0.000127447,2.14E-05
2265.78931,0.000125997,2.09E-05
2281.28564,0.000124555,2.04E-05
2296.88818,0.000123121,1.99E-05
2312.59717,0.000121688,1.94E-05
2328.41406,0.000120272,1.89E-05
2344.33862,0.000118851,1.85E-05
2360.37231,0.000117447,1.80E-05
2376.51562,0.000116048,1.76E-05
2392.76929,0.000114659,1.72E-05
2409.13403,0.000113282,1.68E-05
2425.61108,0.00011191,1.64E-05
2442.20068,0.000110555,1.60E-05
2458.90356,0.000109204,1.56E-05
2475.7207,0.000107869,1.52E-05
2492.65283,0.000106543,1.48E-05
2509.70093,0.000105228,1.45E-05
2526.86548,0.000103927,1.41E-05
2544.14746,0.000102635,1.38E-05
2561.54785,0.000101358,1.34E-05
2579.06689,0.000100089,1.31E-05
2596.70605,9.88E-05,1.28E-05
2614.46582,9.76E-05,1.25E-05
2632.34692,9.64E-05,1.22E-05
2650.35034,9.51E-05,1.19E-05
2668.47681,9.39E-05,1.16E-05
2686.72754,9.27E-05,1.13E-05
2705.10278,9.16E-05,1.10E-05
2723.60376,9.04E-05,1.08E-05
2742.23145,8.92E-05,1.05E-05
2760.98633,8.81E-05,1.02E-05
2779.86963,8.70E-05,9.98E-06
2798.88208,8.58E-05,9.74E-06
2818.02441,8.47E-05,9.50E-06
2837.29761,8.36E-05,9.26E-06
2856.70288,8.26E-05,9.03E-06
2876.24072,8.15E-05,8.81E-06
2895.91211,8.04E-05,8.59E-06
2915.71826,7.94E-05,8.38E-06
2935.65991,7.84E-05,8.17E-06
2955.73755,7.73E-05,7.97E-06
2975.95288,7.63E-05,7.77E-06
2996.3064,7.53E-05,7.58E-06
3016.79907,7.43E-05,7.39E-06
3037.43164,7.34E-05,7.21E-06
3058.20581,7.24E-05,7.03E-06
3079.12183,7.14E-05,6.85E-06
3100.18091,7.05E-05,6.68E-06
3121.38379,6.96E-05,6.51E-06
3142.73218,6.87E-05,6.35E-06
3164.22607,6.77E-05,6.19E-06
3185.86719,6.69E-05,6.04E-06
3207.65649,6.60E-05,5.89E-06
3229.59448,6.51E-05,5.74E-06
3251.68286,6.42E-05,5.60E-06
3273.92188,6.34E-05,5.46E-06
3296.31323,6.25E-05,5.32E-06
3318.85791,6.17E-05,5.19E-06
3341.55664,6.09E-05,5.05E-06
3364.4104,6.01E-05,4.93E-06
3387.42065,5.93E-05,4.80E-06
3410.58838,5.85E-05,4.68E-06
3433.91431,5.77E-05,4.56E-06
3457.40015,5.69E-05,4.45E-06
3481.04614,5.62E-05,4.34E-06
3504.85425,5.54E-05,4.23E-06
3528.82495,5.47E-05,4.12E-06
3552.95972,5.39E-05,4.02E-06
3577.25952,5.32E-05,3.92E-06
3601.72559,5.25E-05,3.82E-06
3626.35864,5.18E-05,3.72E-06
3651.1604,5.11E-05,3.63E-06
3676.13208,5.04E-05,3.53E-06
3701.27417,4.97E-05,3.44E-06
3726.58813,4.91E-05,3.36E-06
3752.07568,4.84E-05,3.27E-06
3777.73706,4.78E-05,3.19E-06
3803.57422,4.71E-05,3.11E-06
3829.58813,4.65E-05,3.03E-06
3855.77979,4.59E-05,2.95E-06
3882.15088,4.52E-05,2.88E-06
3908.7019,4.46E-05,2.80E-06
3935.43481,4.40E-05,2.73E-06
3962.35034,4.34E-05,2.66E-06
3989.4502,4.28E-05,2.59E-06
4016.73511,4.23E-05,2.53E-06
4044.20703,4.17E-05,2.46E-06
4071.86646,4.11E-05,2.40E-06
4099.71533,4.06E-05,2.34E-06
4127.75488,4.00E-05,2.28E-06
4155.98535,3.95E-05,2.22E-06
4184.40967,3.89E-05,2.16E-06
4213.02783,3.84E-05,2.11E-06
4241.84229,3.79E-05,2.06E-06
4270.85352,3.74E-05,2.00E-06
4300.06299,3.69E-05,1.95E-06
4329.47266,3.64E-05,1.90E-06
4359.08301,3.59E-05,1.85E-06
4388.89648,3.54E-05,1.81E-06
4418.91357,3.49E-05,1.76E-06
4449.13574,3.44E-05,1.71E-06
4479.56445,3.40E-05,1.67E-06
4510.20215,3.35E-05,1.63E-06
4541.04834,3.30E-05,1.58E-06
4572.10645,3.26E-05,1.54E-06
4603.37646,3.22E-05,1.50E-06
4634.85986,3.17E-05,1.47E-06
4666.55908,3.13E-05,1.43E-06
4698.47559,3.09E-05,1.39E-06
4730.60986,3.04E-05,1.36E-06
4762.96387,3.00E-05,1.32E-06
4795.53955,2.96E-05,1.29E-06
4828.3374,2.92E-05,1.25E-06
4861.35986,2.88E-05,1.22E-06
4894.60791,2.84E-05,1.19E-06
4928.08398,2.80E-05,1.16E-06
4961.78857,2.77E-05,1.13E-06
4995.72363,2.73E-05,1.10E-06
5029.89111,2.69E-05,1.07E-06
5064.29199,2.65E-05,1.04E-06
5098.92822,2.62E-05,1.02E-06
5133.80127,2.58E-05,9.90E-07
5168.91357,2.55E-05,9.64E-07
5204.26514,2.51E-05,9.39E-07
5239.8584,2.48E-05,9.15E-07
5275.69531,2.44E-05,8.91E-07
5311.77783,2.41E-05,8.68E-07
5348.10645,2.38E-05,8.46E-07
5384.68408,2.35E-05,8.24E-07
5421.51172,2.31E-05,8.02E-07
5458.59082,2.28E-05,7.81E-07
5495.92383,2.25E-05,7.61E-07
5533.51221,2.22E-05,7.41E-07
5571.35791,2.19E-05,7.22E-07
5609.46191,2.16E-05,7.03E-07
5647.82666,2.13E-05,6.85E-07
5686.45361,2.10E-05,6.67E-07
5725.34521,2.07E-05,6.50E-07
5764.50244,2.04E-05,6.33E-07
5803.92773,2.02E-05,6.16E-07
5843.62256,1.99E-05,6.00E-07
5883.58936,1.96E-05,5.85E-07
5923.82861,1.93E-05,5.69E-07
5964.34375,1.91E-05,5.55E-07
6005.13574,1.88E-05,5.40E-07
6046.20654,1.86E-05,5.26E-07
6087.55811,1.83E-05,5.12E-07
6129.19336,1.81E-05,4.99E-07
6171.1123,1.78E-05,4.86E-07
6213.31885,1.76E-05,4.73E-07
6255.81348,1.73E-05,4.61E-07
6298.59863,1.71E-05,4.49E-07
6341.67725,1.69E-05,4.37E-07
6385.0498,1.66E-05,4.26E-07
6428.71924,1.64E-05,4.15E-07
6472.68701,1.62E-05,4.04E-07
6516.95605,1.60E-05,3.93E-07
6561.52734,1.57E-05,3.83E-07
6606.40332,1.55E-05,3.73E-07
6651.58643,1.53E-05,3.63E-07
6697.0791,1.51E-05,3.54E-07
6742.88232,1.49E-05,3.44E-07
6788.99902,1.47E-05,3.35E-07
6835.43115,1.45E-05,3.26E-07
6882.18066,1.43E-05,3.18E-07
6929.25,1.41E-05,3.10E-07
6976.64111,1.39E-05,3.01E-07
7024.35693,1.37E-05,2.94E-07
7072.39844,1.35E-05,2.86E-07
7120.76904,1.33E-05,2.78E-07
7169.46973,1.32E-05,2.71E-07
7218.50439,1.30E-05,2.64E-07
7267.87354,1.28E-05,2.57E-07
7317.58105,1.26E-05,2.50E-07
7367.62793,1.25E-05,2.44E-07
7418.01807,1.23E-05,2.37E-07
7468.75195,1.21E-05,2.31E-07
7519.83301,1.20E-05,2.25E-07
7571.26318,1.18E-05,2.19E-07
7623.04541,1.16E-05,2.13E-07
7675.18164,1.15E-05,2.08E-07
7727.6748,1.13E-05,2.02E-07
7780.52686,1.12E-05,1.97E-07
7833.74023,1.10E-05,1.92E-07
7887.31787,1.09E-05,1.87E-07
7941.26123,1.07E-05,1.82E-07
7995.57422,1.06E-05,1.77E-07
8050.25879,1.04E-05,1.72E-07
8105.31641,1.03E-05,1.68E-07
8160.75146,1.01E-05,1.63E-07
8216.56543,1.00E-05,1.59E-07
8272.76074,9.86E-06,1.55E-07
8329.34082,9.73E-06,1.51E-07
8386.30762,9.60E-06,1.47E-07
8443.66406,9.47E-06,1.43E-07
8501.41309,9.34E-06,1.39E-07
8559.55664,9.21E-06,1.35E-07
8618.09863,9.08E-06,1.32E-07
8677.04004,8.96E-06,1.28E-07
8736.38574,8.84E-06,1.25E-07
8796.13574,8.72E-06,1.22E-07
8856.2959,8.60E-06,1.18E-07
8916.86621,8.48E-06,1.15E-07
8977.85156,8.36E-06,1.12E-07
9039.25391,8.25E-06,1.09E-07
9101.07617,8.14E-06,1.06E-07
9163.32129,8.03E-06,1.04E-07
