SiO2,Density=2.2,
"Energy(eV),","Delta,",Beta
1000,0.000447339,6.96E-05
1006.83929,0.000441342,6.79E-05
1013.7254,0.000435423,6.62E-05
1020.65863,0.000429573,6.45E-05
1027.63916,0.000423793,6.29E-05
1034.66748,0.000418089,6.14E-05
1041.7439,0.000412452,5.98E-05
1048.86877,0.00040689,5.83E-05
1056.04236,0.000401381,5.69E-05
1063.26489,0.000395944,5.55E-05
1070.53687,0.000390568,5.41E-05
1077.85852,0.000385253,5.27E-05
1085.23035,0.000380008,5.14E-05
1092.65271,0.000374815,5.01E-05
1100.12561,0.000369691,4.89E-05
1107.64966,0.000364633,4.77E-05
1115.22534,0.000359645,4.65E-05
1122.85266,0.000354721,4.53E-05
1130.5321,0.000349861,4.42E-05
1138.26428,0.000345066,4.31E-05
1146.04919,0.000340329,4.21E-05
1153.88745,0.000335656,4.10E-05
1161.77917,0.000331041,4.00E-05
1169.72498,0.000326486,3.90E-05
1177.7251,0.000321991,3.81E-05
1185.77979,0.000317552,3.71E-05
1193.88977,0.000313174,3.62E-05
1202.05518,0.000308847,3.53E-05
1210.27637,0.00030458,3.45E-05
1218.55383,0.000300367,3.36E-05
1226.88794,0.000296208,3.28E-05
1235.27893,0.000292105,3.20E-05
1243.72742,0.000288052,3.12E-05
1252.23364,0.000284056,3.04E-05
1260.7981,0.000280108,2.97E-05
1269.42114,0.000276213,2.89E-05
1278.10303,0.000272365,2.82E-05
1286.84436,0.000268567,2.75E-05
1295.64551,0.000264819,2.68E-05
1304.50684,0.000261113,2.62E-05
1313.42871,0.00025746,2.55E-05
1322.41162,0.000253848,2.49E-05
1331.45605,0.000250286,2.43E-05
1340.56238,0.000246768,2.36E-05
1349.73083,0.000243294,2.31E-05
1358.96204,0.000239868,2.25E-05
1368.25647,0.00023648,2.19E-05
1377.61438,0.000233139,2.14E-05
1387.03625,0.000229838,2.08E-05
1396.52258,0.00022658,2.03E-05
1406.07397,0.000223363,1.98E-05
1415.69043,0.000220185,1.93E-05
1425.3728,0.00021705,1.88E-05
1435.12146,0.000213949,1.84E-05
