SiO2,Density=2.2,
"Energy(eV),","Delta,",Beta
250,0.00578145,0.002235195
255.377594,0.005571918,0.002094541
260.87088,0.005366224,0.001962441
266.48233,0.005165584,0.001838698
272.214447,0.004970716,0.001722777
278.069885,0.004781627,0.001614088
284.0513,0.004598285,0.001512165
290.161346,0.00442091,0.00141666
296.402832,0.004249792,0.001327115
302.778564,0.004084322,0.001241798
309.291443,0.003923565,0.001161342
315.944458,0.003767582,0.00108611
322.74054,0.003616586,0.001015761
329.682831,0.00347074,0.00094998
336.774445,0.003329901,0.000888466
344.018585,0.003194008,0.000830944
351.418549,0.003063098,0.000777153
358.977692,0.002937196,0.000726851
366.699463,0.002816915,0.000679002
374.587341,0.002700345,0.000631837
382.644836,0.002586117,0.000587606
390.875702,0.002474956,0.000546431
399.2836,0.002367237,0.000508104
407.872314,0.002262831,0.00047246
416.645813,0.00216154,0.000439315
425.608032,0.002063411,0.000408498
434.763031,0.00196819,0.000379843
444.11499,0.00187549,0.000353197
453.66806,0.001785299,0.000328424
463.426636,0.001697232,0.000305301
473.395142,0.001610161,0.000283313
483.578064,0.001523561,0.000262891
493.980011,0.001436316,0.000243941
504.605713,0.001345302,0.000226358
515.460022,0.001247258,0.00021004
526.547729,0.001130475,0.0001949
537.873962,0.000764467,0.000180852
549.443909,0.000840112,0.000582137
561.262695,0.001046134,0.000540629
573.335632,0.001070678,0.000502214
585.668335,0.001071534,0.000466703
598.266235,0.001060214,0.000433565
611.135254,0.001040862,0.000402742
624.281006,0.001017561,0.000374093
637.709473,0.000991853,0.000347212
651.426941,0.000963921,0.000321639
665.439392,0.000934335,0.000297719
679.753235,0.000903701,0.000276132
694.375,0.000873204,0.000256886
709.311218,0.000843608,0.000238996
724.568848,0.000814386,0.000221907
740.154602,0.00078536,0.000205962
756.075623,0.000756878,0.000191157
772.339111,0.000729091,0.000177381
788.952454,0.000701972,0.000164423
805.923096,0.000675442,0.000152239
823.25885,0.000649491,0.000140891
840.967468,0.000624154,0.000130405
859.057007,0.000599508,0.000120824
877.535706,0.000575738,0.000112062
896.411865,0.000552877,0.00010396
915.69397,0.000530886,9.64E-05
935.39093,0.000509669,8.92E-05
955.511597,0.000489109,8.24E-05
976.065063,0.000469187,7.62E-05
997.060608,0.000449944,7.04E-05
1018.50769,0.000431377,6.50E-05
1040.41626,0.000413501,6.01E-05
1062.79602,0.000396293,5.56E-05
1085.65723,0.000379707,5.13E-05
1109.01013,0.00036373,4.75E-05
1132.86548,0.000348404,4.39E-05
1157.23376,0.000333689,4.06E-05
1182.12634,0.000319554,3.76E-05
1207.55432,0.000305983,3.48E-05
1233.5293,0.000292954,3.21E-05
1260.06311,0.000280443,2.97E-05
1287.16748,0.000268428,2.75E-05
1314.85498,0.000256882,2.54E-05
1343.13794,0.000245785,2.35E-05
1372.02942,0.000235124,2.17E-05
1401.54248,0.000224883,2.01E-05
1431.69006,0.000215034,1.85E-05
1462.48633,0.000205565,1.71E-05
1493.94495,0.000196457,1.58E-05
1526.08032,0.000187673,1.46E-05
1558.90686,0.000179186,1.35E-05
1592.4397,0.000170979,1.25E-05
1626.69373,0.000163,1.15E-05
1661.68457,0.000155203,1.06E-05
1697.42798,0.000147529,9.79E-06
1733.94031,0.000139789,9.03E-06
1771.23804,0.000131594,8.33E-06
1809.33826,0.0001217,7.68E-06
1848.25781,0.000112417,2.38E-05
1888.01453,0.000115475,2.21E-05
1928.62659,0.000113907,2.05E-05
1970.11194,0.000111122,1.91E-05
2012.48975,0.000107887,1.77E-05
2055.77954,0.000104425,1.64E-05
2100,0.000100887,1.53E-05
