Si,Density=2.33,
"Energy(eV),","Delta,",Beta
1000,0.000446924,3.68E-05
1006.83929,0.00044055,3.59E-05
1013.7254,0.000434262,3.49E-05
1020.65863,0.000428058,3.40E-05
1027.63916,0.000421936,3.31E-05
1034.66748,0.0004159,3.22E-05
1041.7439,0.000409937,3.14E-05
1048.86877,0.00040406,3.05E-05
1056.04236,0.000398255,2.97E-05
1063.26489,0.000392528,2.90E-05
1070.53687,0.000386876,2.82E-05
1077.85852,0.000381293,2.74E-05
1085.23035,0.00037579,2.67E-05
1092.65271,0.000370342,2.60E-05
1100.12561,0.000364971,2.54E-05
1107.64966,0.000359688,2.48E-05
1115.22534,0.000354487,2.41E-05
1122.85266,0.000349362,2.36E-05
1130.5321,0.000344312,2.30E-05
1138.26428,0.000339336,2.24E-05
1146.04919,0.000334427,2.19E-05
1153.88745,0.000329589,2.13E-05
1161.77917,0.000324818,2.08E-05
1169.72498,0.000320113,2.03E-05
1177.7251,0.000315475,1.98E-05
1185.77979,0.0003109,1.93E-05
1193.88977,0.000306391,1.88E-05
1202.05518,0.000301939,1.84E-05
1210.27637,0.000297551,1.79E-05
1218.55383,0.000293221,1.75E-05
1226.88794,0.000288948,1.70E-05
1235.27893,0.000284737,1.66E-05
1243.72742,0.000280577,1.62E-05
1252.23364,0.000276477,1.58E-05
1260.7981,0.000272429,1.54E-05
1269.42114,0.000268437,1.50E-05
1278.10303,0.000264499,1.47E-05
1286.84436,0.000260611,1.43E-05
1295.64551,0.00025678,1.40E-05
1304.50684,0.00025299,1.36E-05
1313.42871,0.000249256,1.33E-05
1322.41162,0.000245565,1.29E-05
1331.45605,0.000241924,1.26E-05
1340.56238,0.000238331,1.23E-05
1349.73083,0.000234781,1.20E-05
1358.96204,0.000231283,1.17E-05
1368.25647,0.000227818,1.14E-05
1377.61438,0.000224404,1.11E-05
1387.03625,0.000221028,1.09E-05
1396.52258,0.000217694,1.06E-05
1406.07397,0.000214404,1.03E-05
1415.69043,0.000211147,1.01E-05
1425.3728,0.000207939,9.82E-06
1435.12146,0.000204756,9.58E-06
1444.93665,0.00020162,9.34E-06
1454.81897,0.000198514,9.11E-06
1464.76892,0.000195444,8.88E-06
1474.78687,0.000192413,8.66E-06
1484.87341,0.000189404,8.44E-06
1495.02893,0.00018644,8.23E-06
1505.25391,0.000183491,8.03E-06
1515.54883,0.000180582,7.82E-06
1525.91406,0.000177696,7.62E-06
1536.35034,0.000174832,7.43E-06
1546.85791,0.000172005,7.24E-06
1557.43726,0.000169179,7.06E-06
1568.08911,0.000166397,6.88E-06
1578.81384,0.00016361,6.70E-06
1589.61182,0.000160856,6.53E-06
1600.48364,0.000158112,6.36E-06
1611.42981,0.000155372,6.20E-06
1622.45081,0.000152669,6.04E-06
1633.54736,0.000149925,5.89E-06
1644.71973,0.000147227,5.74E-06
1655.96838,0.000144484,5.59E-06
1667.29419,0.000141758,5.45E-06
1678.69727,0.000139013,5.31E-06
1690.17834,0.000136216,5.18E-06
1701.73804,0.000133461,5.04E-06
1713.37671,0.000130527,4.91E-06
1725.09509,0.000127649,4.79E-06
1736.89355,0.000124564,4.67E-06
1748.77258,0.00012142,4.54E-06
1760.73303,0.000118105,4.43E-06
1772.77527,0.000114384,4.31E-06
1784.89978,0.000110742,4.20E-06
1797.10718,0.000105405,4.09E-06
1809.39832,0.000100141,3.98E-06
1821.77332,7.75E-05,3.88E-06
1834.23291,4.16E-05,3.77E-06
1846.77783,8.57E-05,4.17E-05
1859.40845,9.28E-05,4.08E-05
1872.12561,9.64E-05,3.99E-05
1884.92969,9.98E-05,3.89E-05
1897.82117,0.000101778,3.81E-05
1910.80103,0.000102868,3.72E-05
1923.86963,0.000103728,3.63E-05
1937.02759,0.000103995,3.55E-05
1950.27539,0.000104236,3.47E-05
1963.61401,0.000104119,3.39E-05
1977.0437,0.000103946,3.31E-05
1990.56543,0.000103638,3.24E-05
2004.17944,0.000103215,3.16E-05
2017.8866,0.000102757,3.09E-05
2031.6875,0.000102171,3.02E-05
2045.58301,0.000101581,2.95E-05
2059.57349,0.000100901,2.88E-05
2073.65942,0.000100202,2.82E-05
2087.8418,9.95E-05,2.75E-05
2102.12109,9.87E-05,2.69E-05
2116.49829,9.79E-05,2.62E-05
2130.97363,9.71E-05,2.56E-05
2145.5481,9.62E-05,2.50E-05
2160.22217,9.54E-05,2.44E-05
2174.99634,9.45E-05,2.39E-05
2189.87207,9.36E-05,2.33E-05
2204.84912,9.27E-05,2.27E-05
2219.92871,9.18E-05,2.22E-05
2235.11157,9.09E-05,2.17E-05
2250.39819,9.00E-05,2.12E-05
2265.78931,8.91E-05,2.07E-05
2281.28564,8.81E-05,2.02E-05
2296.88818,8.72E-05,1.97E-05
2312.59717,8.63E-05,1.92E-05
2328.41406,8.54E-05,1.88E-05
2344.33862,8.44E-05,1.83E-05
2360.37231,8.35E-05,1.79E-05
2376.51562,8.26E-05,1.75E-05
2392.76929,8.17E-05,1.70E-05
2409.13403,8.07E-05,1.66E-05
2425.61108,7.98E-05,1.62E-05
2442.20068,7.89E-05,1.58E-05
2458.90356,7.80E-05,1.55E-05
2475.7207,7.71E-05,1.51E-05
2492.65283,7.62E-05,1.47E-05
2509.70093,7.53E-05,1.44E-05
2526.86548,7.44E-05,1.40E-05
2544.14746,7.35E-05,1.37E-05
2561.54785,7.27E-05,1.33E-05
2579.06689,7.18E-05,1.30E-05
2596.70605,7.09E-05,1.27E-05
2614.46582,7.01E-05,1.24E-05
2632.34692,6.92E-05,1.21E-05
2650.35034,6.84E-05,1.18E-05
2668.47681,6.76E-05,1.15E-05
