Si,Density=2.33,
"Energy(eV),","Delta,",Beta
250,0.00597167,0.004250241
255.377594,0.005811784,0.00398923
260.87088,0.005646703,0.003743522
266.48233,0.005479987,0.00351295
272.214447,0.005313853,0.003296575
278.069885,0.005148996,0.003093534
284.0513,0.004986132,0.002902999
290.161346,0.004826297,0.002724196
296.402832,0.004670671,0.002556209
302.778564,0.004518224,0.002395287
309.291443,0.004367211,0.002243053
315.944458,0.004218287,0.002100496
322.74054,0.004072282,0.001966999
329.682831,0.003929904,0.001841991
336.774445,0.003791298,0.001724923
344.018585,0.003656671,0.001615295
351.418549,0.003526377,0.001512636
358.977692,0.003400932,0.001416498
366.699463,0.003282052,0.001324639
374.587341,0.003165634,0.00123314
382.644836,0.003049004,0.001147192
390.875702,0.002934183,0.001067234
399.2836,0.002822317,0.000992845
407.872314,0.002713597,0.000923642
416.645813,0.002608042,0.000859263
425.608032,0.002505877,0.000799372
434.763031,0.002407149,0.000743656
444.11499,0.002311778,0.000691821
453.66806,0.002219942,0.000643601
463.426636,0.002131779,0.000598535
473.395142,0.002046544,0.000555507
483.578064,0.001963809,0.000515529
493.980011,0.001883893,0.000478429
504.605713,0.001806791,0.000443999
515.460022,0.001732527,0.000412046
526.547729,0.001661069,0.000382393
537.873962,0.001592327,0.000354874
549.443909,0.00152626,0.000329335
561.262695,0.001462828,0.000305634
573.335632,0.001402006,0.000283638
585.668335,0.001343816,0.000263017
598.266235,0.001287819,0.000243409
611.135254,0.001233706,0.000225163
624.281006,0.001181591,0.000208285
637.709473,0.001131496,0.000192672
651.426941,0.001083365,0.00017823
665.439392,0.001037135,0.00016487
679.753235,0.00099276,0.000152512
694.375,0.000949982,0.000141117
709.311218,0.000909004,0.000130904
724.568848,0.000869972,0.000121523
740.154602,0.000832676,0.000112814
756.075623,0.000797021,0.00010473
772.339111,0.00076293,9.72E-05
788.952454,0.000730364,9.02E-05
805.923096,0.000699289,8.36E-05
823.25885,0.000669376,7.73E-05
840.967468,0.000640649,7.15E-05
859.057007,0.000613098,6.61E-05
877.535706,0.000586712,6.11E-05
896.411865,0.00056149,5.65E-05
915.69397,0.000537352,5.20E-05
935.39093,0.000514089,4.79E-05
955.511597,0.000491733,4.40E-05
976.065063,0.000470276,4.05E-05
997.060608,0.000449701,3.73E-05
1018.50769,0.000429971,3.43E-05
1040.41626,0.000411046,3.15E-05
1062.79602,0.000392896,2.90E-05
1085.65723,0.000375475,2.67E-05
1109.01013,0.000358746,2.46E-05
1132.86548,0.000342799,2.28E-05
1157.23376,0.000327555,2.11E-05
1182.12634,0.000312963,1.95E-05
1207.55432,0.000298993,1.81E-05
1233.5293,0.000285608,1.67E-05
1260.06311,0.000272774,1.55E-05
1287.16748,0.000260469,1.43E-05
1314.85498,0.000248666,1.32E-05
1343.13794,0.000237326,1.22E-05
1372.02942,0.000226432,1.13E-05
1401.54248,0.00021596,1.05E-05
1431.69006,0.000205869,9.66E-06
1462.48633,0.000196142,8.93E-06
1493.94495,0.000186753,8.26E-06
1526.08032,0.00017765,7.62E-06
1558.90686,0.000168791,7.03E-06
1592.4397,0.000160145,6.49E-06
1626.69373,0.000151612,5.98E-06
1661.68457,0.0001431,5.52E-06
1697.42798,0.000134486,5.09E-06
1733.94031,0.000125359,4.70E-06
1771.23804,0.000114853,4.32E-06
1809.33826,0.000100166,3.98E-06
1848.25781,8.65E-05,4.16E-05
1888.01453,0.000100573,3.87E-05
1928.62659,0.000103828,3.60E-05
1970.11194,0.000104037,3.35E-05
2012.48975,0.000102955,3.12E-05
2055.77954,0.00010109,2.90E-05
2100,9.88E-05,2.70E-05
