W,Density=19.3,
"Energy(eV),","Delta,",Beta
1000,0.002021173,0.000752806
1006.83929,0.001995632,0.000737988
1013.7254,0.001970412,0.000723461
1020.65863,0.00194537,0.000709034
1027.63916,0.001920585,0.000694815
1034.66748,0.001896035,0.000680856
1041.7439,0.001871646,0.000667133
1048.86877,0.00184757,0.000653686
1056.04236,0.001823504,0.000640443
1063.26489,0.001799746,0.000627468
1070.53687,0.001776145,0.000614751
1077.85852,0.001752765,0.000602289
1085.23035,0.001729633,0.000590078
1092.65271,0.001706655,0.000578114
1100.12561,0.001683982,0.000566392
1107.64966,0.001661427,0.000554905
1115.22534,0.001639158,0.00054365
1122.85266,0.00161708,0.00053262
1130.5321,0.001595219,0.000521812
1138.26428,0.001573613,0.000511222
1146.04919,0.001552157,0.000500846
1153.88745,0.001530992,0.000490681
1161.77917,0.001509964,0.000480722
1169.72498,0.001489201,0.000470966
1177.7251,0.001468635,0.000461406
1185.77979,0.00144827,0.000452037
1193.88977,0.001428162,0.000442859
1202.05518,0.001408196,0.000433868
1210.27637,0.001388509,0.000425059
1218.55383,0.001368986,0.000416426
1226.88794,0.00134971,0.000407968
1235.27893,0.001330635,0.000399644
1243.72742,0.001311741,0.000391443
1252.23364,0.001293102,0.000383402
1260.7981,0.001274591,0.000375446
1269.42114,0.001256344,0.000367654
1278.10303,0.001238119,0.000359945
1286.84436,0.001220074,0.000352371
1295.64551,0.001202185,0.000344956
1304.50684,0.001184388,0.0003377
1313.42871,0.001166845,0.000330596
1322.41162,0.001149313,0.00032364
1331.45605,0.001132042,0.00031683
1340.56238,0.001114849,0.000310159
1349.73083,0.001097828,0.000303627
1358.96204,0.001080975,0.000297232
1368.25647,0.001064195,0.000290972
1377.61438,0.001047671,0.000284844
1387.03625,0.001031123,0.000278842
1396.52258,0.001014821,0.000272966
1406.07397,0.000998584,0.000267214
1415.69043,0.000982484,0.000261584
1425.3728,0.000966552,0.000256072
1435.12146,0.00095063,0.000250676
1444.93665,0.000934963,0.000245393
1454.81897,0.000919231,0.000240215
1464.76892,0.000903722,0.000235147
1474.78687,0.000888243,0.000230178
1484.87341,0.000872839,0.000225308
1495.02893,0.000857598,0.000220536
1505.25391,0.000842243,0.000215839
