Y3Al5O12,Density=4.55,
"Energy(eV),","Delta,",Beta
250,0.007972499,0.004505727
251.068527,0.00792077,0.004470144
252.141632,0.00786947,0.00443494
253.219299,0.00781857,0.004400115
254.301575,0.007767966,0.004365658
255.388504,0.007717659,0.004331567
256.480042,0.007668267,0.004297816
257.576263,0.007619312,0.004264415
258.677185,0.007570638,0.004231367
259.782776,0.00752227,0.004198639
260.893127,0.007474934,0.004165506
262.008209,0.007427862,0.004132718
263.128082,0.007381048,0.004100273
264.252686,0.007334711,0.004067989
265.382141,0.007289186,0.004035583
266.516418,0.007243904,0.004003522
267.655518,0.007198866,0.003971804
268.7995,0.007153992,0.003939079
269.948395,0.007109286,0.003905466
271.102203,0.007064821,0.003872255
272.260895,0.007020603,0.003839441
273.424561,0.006975829,0.003806998
274.593201,0.006931049,0.003774936
275.766846,0.006886527,0.003743252
276.945496,0.00684226,0.003711943
278.129181,0.006798144,0.003680973
279.317932,0.006754282,0.003650368
280.51181,0.006710675,0.003620121
281.710724,0.006667527,0.003590208
282.914795,0.006625319,0.003560566
284.123993,0.006583346,0.003531271
285.338379,0.006541607,0.003502316
286.557953,0.006499999,0.003472935
287.782684,0.006458507,0.003443022
289.012726,0.006417249,0.003413449
290.247986,0.006376228,0.003384214
291.488525,0.006335131,0.003355311
292.734375,0.006294145,0.003326735
293.985565,0.006253398,0.003298484
295.242096,0.006212889,0.003270551
296.503998,0.006172721,0.003242936
297.771271,0.006132796,0.003215634
299.043976,0.006093102,0.003188637
300.322113,0.006053741,0.003161943
301.605743,0.006015069,0.003135546
302.894836,0.005976618,0.003109444
304.189423,0.005938386,0.003083633
305.489563,0.005901022,0.003057707
306.795258,0.005864758,0.003031512
308.106537,0.005828685,0.003005606
309.423431,0.005792801,0.002979985
310.745911,0.005756401,0.00295333
312.074066,0.005719833,0.002926281
313.407928,0.005683471,0.002899529
314.747467,0.005647313,0.002873071
316.092712,0.00561075,0.002846898
317.443726,0.005574328,0.002821011
318.800507,0.005538119,0.002795406
320.163086,0.005502092,0.00277008
321.531494,0.005466076,0.00274503
322.905792,0.005430273,0.002720251
324.285889,0.005394685,0.002695741
325.671936,0.005359295,0.002671496
327.063873,0.00532409,0.002647514
328.461792,0.005289096,0.00262379
329.865662,0.005254314,0.002600322
331.275543,0.005219813,0.002577105
332.691467,0.005185568,0.002554137
334.113434,0.005151526,0.002531415
335.541443,0.005117691,0.002508936
336.975586,0.005084283,0.002486696
338.415863,0.005051112,0.002464694
339.862274,0.005018139,0.002442925
341.31488,0.00498549,0.002421347
342.773712,0.004954394,0.002399569
344.238739,0.004923468,0.002378022
345.710083,0.004892709,0.002356703
347.187683,0.004861895,0.002335032
348.67157,0.004830786,0.002312386
350.161835,0.004799854,0.002289985
351.658478,0.004769098,0.002267825
353.161499,0.004738024,0.002245907
354.670898,0.004706748,0.002224225
356.186829,0.004675659,0.002202776
357.709198,0.004644759,0.002181558
359.238098,0.004613915,0.002160874
360.773499,0.004583227,0.002140482
362.315491,0.004552727,0.002120302
363.864075,0.004522427,0.002100334
365.419281,0.004492643,0.002080682
366.981079,0.004463039,0.00206123
368.549622,0.004433614,0.002041977
370.124817,0.004404486,0.002022923
371.706787,0.004375847,0.002004065
373.295471,0.004347378,0.0019854
374.890991,0.004319076,0.001966924
376.493317,0.004292053,0.001948316
378.102478,0.004266229,0.001929594
379.718536,0.004240533,0.001911067
381.341492,0.004214965,0.001892731
382.971375,0.004188775,0.001872547
384.608246,0.004162475,0.001851916
386.252106,0.004136321,0.001831517
387.902985,0.004110311,0.001811349
389.560913,0.004083196,0.001791398
391.225922,0.004056231,0.001771673
392.898071,0.00402943,0.001752171
394.577362,0.004002726,0.001732889
396.263824,0.003975968,0.001713823
397.957489,0.003949376,0.001694973
399.658417,0.003922949,0.001676336
401.366577,0.003897046,0.001657909
403.082062,0.003871714,0.001639689
404.804871,0.00384653,0.001621675
406.535065,0.003821495,0.001603864
408.272614,0.003796711,0.001584671
410.017639,0.003772115,0.001565045
411.770111,0.003747664,0.001545664
413.53006,0.003723355,0.001526525
415.297516,0.003697402,0.001506416
417.07254,0.003671509,0.001486495
418.855133,0.003645789,0.001466839
420.645386,0.003620011,0.001447443
422.443237,0.003593361,0.001428303
424.24881,0.003566902,0.001409417
426.062103,0.003540633,0.001390781
427.883148,0.003514192,0.001372391
429.711945,0.003487443,0.001354245
431.548584,0.003460896,0.00133634
433.393066,0.003434547,0.001318671
435.245422,0.003407899,0.001301135
437.105713,0.003381196,0.001283781
438.973969,0.0033547,0.001266658
440.850159,0.003328411,0.001249766
442.734406,0.003301571,0.001233042
444.626678,0.003274855,0.001216537
446.5271,0.003248355,0.001200253
448.435577,0.003221961,0.001184189
450.352264,0.00319507,0.001168342
452.2771,0.003168404,0.001152708
454.210175,0.003141959,0.001137285
456.15152,0.003115362,0.001122069
458.101166,0.003088355,0.001107058
460.059113,0.003061582,0.001092249
462.025452,0.003035041,0.001077638
464.000183,0.003008291,0.001063517
465.983398,0.002981495,0.001049771
467.975037,0.002954936,0.001036203
469.97522,0.002928613,0.001022812
471.983948,0.002901987,0.00100963
474.001251,0.002875503,0.000996625
476.027191,0.00284926,0.000983789
478.061768,0.002823183,0.00097112
480.105042,0.002796533,0.000958613
482.157074,0.002770131,0.000946269
484.217865,0.002743976,0.000934084
486.287445,0.002717701,0.000922057
488.365875,0.002690909,0.000910185
490.453217,0.002664374,0.000898466
492.549469,0.002638096,0.000886899
494.654694,0.002611239,0.000875473
496.76889,0.002583996,0.000864188
498.89212,0.002557029,0.00085305
501.024414,0.002530332,0.000842056
503.165833,0.002502235,0.000831185
505.316437,0.002474009,0.000820449
507.476196,0.002446083,0.000809854
509.645233,0.002418338,0.000799395
511.823486,0.002387767,0.000789065
514.011108,0.002357541,0.000778869
516.208008,0.002327655,0.000768805
518.414307,0.002296531,0.000758874
520.630127,0.002261597,0.000749074
522.855347,0.002227089,0.000739402
525.090027,0.002193007,0.000729856
527.334351,0.002152216,0.000720437
529.588196,0.002105192,0.000711144
531.851746,0.002058808,0.000701972
534.124939,0.002013063,0.000692919
536.407837,0.001831206,0.000683909
538.7005,0.001606781,0.000674993
541.002991,0.001386036,0.000666194
543.315308,0.001320987,0.001198494
545.637451,0.001509145,0.001182001
547.969604,0.001664128,0.001165736
550.311646,0.001816352,0.001149697
552.663757,0.001936523,0.001133874
555.025879,0.001954208,0.001118252
557.398071,0.001971456,0.001102847
559.780457,0.001988266,0.001087655
562.173035,0.001998831,0.001072674
564.575867,0.002002372,0.001057901
566.988892,0.002005707,0.001043334
569.412231,0.00200884,0.001028968
571.845947,0.00200813,0.00101485
574.2901,0.002005742,0.001000948
576.74469,0.00200325,0.000987238
579.209717,0.002000657,0.000973716
581.685364,0.001995313,0.000960399
584.171509,0.001989744,0.000947266
586.668335,0.001984127,0.000934314
589.175842,0.001978146,0.000921542
591.69397,0.001970671,0.000908955
594.222961,0.001963181,0.00089654
596.762695,0.001955676,0.000884297
599.313354,0.001947649,0.000872221
601.874878,0.001938909,0.00086031
604.447388,0.001930175,0.000848562
607.030823,0.001921451,0.000836977
609.625366,0.00191217,0.000825549
612.230957,0.001902609,0.000814279
614.847656,0.001893072,0.000803163
617.475647,0.001883561,0.0007922
620.114746,0.001873512,0.000781378
622.765198,0.00186343,0.000770704
625.426941,0.001853384,0.000760177
628.100098,0.001843315,0.000749781
630.784607,0.001832895,0.000739437
633.480652,0.001822519,0.000729237
636.188293,0.001812186,0.000719178
638.907349,0.001801735,0.000709205
641.638184,0.001791051,0.000699277
644.380554,0.001780418,0.000689491
647.134705,0.001769837,0.000679842
649.900635,0.00175913,0.000670238
652.678345,0.001748363,0.000660712
655.468018,0.001737652,0.000651323
658.269531,0.001726996,0.000642068
661.083069,0.001715895,0.000632685
663.90863,0.001704765,0.000623391
666.746216,0.001693701,0.000614235
669.595947,0.001682655,0.000605233
672.457886,0.001671158,0.000596583
675.332031,0.001659735,0.000588058
678.218445,0.001648386,0.000579654
681.117249,0.001637065,0.000571428
684.028381,0.001625721,0.000563438
686.951965,0.001614453,0.00055556
689.888062,0.001603258,0.000547792
692.836792,0.001592125,0.000540153
695.797974,0.001581057,0.000532638
