# N = 20 Be-CRL IF-1
# R = 50 um
# E = 9.5 keV
# Shape from simulation using mean deformation (300 m source distance for XPP)
# 
# r[um]	phase[rad]
  0.0	-6.2136
  0.1	-6.2136
  0.2	-6.2136
  0.3	-6.2136
  0.4	-6.2148
  0.5	-6.2178
  0.6	-6.2223
  0.7	-6.2282
  0.8	-6.2354
  0.9	-6.2436
  1.0	-6.2527
  1.1	-6.2626
  1.2	-6.2731
  1.3	-6.2841
  1.4	-6.2953
  1.5	-6.3066
  1.6	-6.3179
  1.7	-6.3290
  1.8	-6.3399
  1.9	-6.3506
  2.0	-6.3611
  2.1	-6.3714
  2.2	-6.3816
  2.3	-6.3915
  2.4	-6.4013
  2.5	-6.4109
  2.6	-6.4203
  2.7	-6.4296
  2.8	-6.4387
  2.9	-6.4478
  3.0	-6.4568
  3.1	-6.4657
  3.2	-6.4746
  3.3	-6.4834
  3.4	-6.4922
  3.5	-6.5010
  3.6	-6.5097
  3.7	-6.5183
  3.8	-6.5268
  3.9	-6.5353
  4.0	-6.5436
  4.1	-6.5517
  4.2	-6.5598
  4.3	-6.5677
  4.4	-6.5755
  4.5	-6.5832
  4.6	-6.5909
  4.7	-6.5984
  4.8	-6.6059
  4.9	-6.6133
  5.0	-6.6207
  5.1	-6.6280
  5.2	-6.6351
  5.3	-6.6422
  5.4	-6.6492
  5.5	-6.6560
  5.6	-6.6627
  5.7	-6.6692
  5.8	-6.6757
  5.9	-6.6819
  6.0	-6.6881
  6.1	-6.6941
  6.2	-6.7000
  6.3	-6.7058
  6.4	-6.7115
  6.5	-6.7170
  6.6	-6.7225
  6.7	-6.7280
  6.8	-6.7333
  6.9	-6.7386
  7.0	-6.7438
  7.1	-6.7489
  7.2	-6.7541
  7.3	-6.7591
  7.4	-6.7642
  7.5	-6.7691
  7.6	-6.7739
  7.7	-6.7787
  7.8	-6.7833
  7.9	-6.7877
  8.0	-6.7920
  8.1	-6.7961
  8.2	-6.8000
  8.3	-6.8037
  8.4	-6.8073
  8.5	-6.8108
  8.6	-6.8141
  8.7	-6.8173
  8.8	-6.8204
  8.9	-6.8235
  9.0	-6.8264
  9.1	-6.8293
  9.2	-6.8320
  9.3	-6.8347
  9.4	-6.8373
  9.5	-6.8398
  9.6	-6.8422
  9.7	-6.8445
  9.8	-6.8467
  9.9	-6.8488
 10.0	-6.8509
 10.1	-6.8528
 10.2	-6.8546
 10.3	-6.8563
 10.4	-6.8579
 10.5	-6.8593
 10.6	-6.8607
 10.7	-6.8620
 10.8	-6.8631
 10.9	-6.8641
 11.0	-6.8650
 11.1	-6.8659
 11.2	-6.8666
 11.3	-6.8672
 11.4	-6.8677
 11.5	-6.8681
 11.6	-6.8684
 11.7	-6.8686
 11.8	-6.8687
 11.9	-6.8687
 12.0	-6.8686
 12.1	-6.8684
 12.2	-6.8681
 12.3	-6.8677
 12.4	-6.8672
 12.5	-6.8666
 12.6	-6.8658
 12.7	-6.8650
 12.8	-6.8641
 12.9	-6.8630
 13.0	-6.8618
 13.1	-6.8606
 13.2	-6.8592
 13.3	-6.8577
 13.4	-6.8560
 13.5	-6.8543
 13.6	-6.8525
 13.7	-6.8505
 13.8	-6.8484
 13.9	-6.8462
 14.0	-6.8439
 14.1	-6.8416
 14.2	-6.8391
 14.3	-6.8365
 14.4	-6.8339
 14.5	-6.8312
 14.6	-6.8284
 14.7	-6.8255
 14.8	-6.8225
 14.9	-6.8194
 15.0	-6.8162
 15.1	-6.8129
 15.2	-6.8095
 15.3	-6.8059
 15.4	-6.8022
 15.5	-6.7984
 15.6	-6.7945
 15.7	-6.7904
 15.8	-6.7863
 15.9	-6.7820
 16.0	-6.7776
 16.1	-6.7732
 16.2	-6.7686
 16.3	-6.7639
 16.4	-6.7591
 16.5	-6.7543
 16.6	-6.7493
 16.7	-6.7442
 16.8	-6.7391
 16.9	-6.7338
 17.0	-6.7284
 17.1	-6.7230
 17.2	-6.7174
 17.3	-6.7117
 17.4	-6.7060
 17.5	-6.7001
 17.6	-6.6941
 17.7	-6.6880
 17.8	-6.6818
 17.9	-6.6754
 18.0	-6.6690
 18.1	-6.6625
 18.2	-6.6559
 18.3	-6.6492
 18.4	-6.6424
 18.5	-6.6356
 18.6	-6.6286
 18.7	-6.6216
 18.8	-6.6145
 18.9	-6.6073
 19.0	-6.5999
 19.1	-6.5925
 19.2	-6.5849
 19.3	-6.5772
 19.4	-6.5694
 19.5	-6.5614
 19.6	-6.5534
 19.7	-6.5453
 19.8	-6.5370
 19.9	-6.5288
 20.0	-6.5204
 20.1	-6.5120
 20.2	-6.5035
 20.3	-6.4950
 20.4	-6.4863
 20.5	-6.4776
 20.6	-6.4688
 20.7	-6.4598
 20.8	-6.4507
 20.9	-6.4415
 21.0	-6.4322
 21.1	-6.4228
 21.2	-6.4132
 21.3	-6.4036
 21.4	-6.3938
 21.5	-6.3840
 21.6	-6.3740
 21.7	-6.3640
 21.8	-6.3539
 21.9	-6.3438
 22.0	-6.3336
 22.1	-6.3232
 22.2	-6.3129
 22.3	-6.3024
 22.4	-6.2919
 22.5	-6.2813
 22.6	-6.2706
 22.7	-6.2599
 22.8	-6.2490
 22.9	-6.2381
 23.0	-6.2271
 23.1	-6.2159
 23.2	-6.2047
 23.3	-6.1933
 23.4	-6.1818
 23.5	-6.1702
 23.6	-6.1585
 23.7	-6.1468
 23.8	-6.1349
 23.9	-6.1230
 24.0	-6.1110
 24.1	-6.0990
 24.2	-6.0870
 24.3	-6.0748
 24.4	-6.0627
 24.5	-6.0504
 24.6	-6.0381
 24.7	-6.0258
 24.8	-6.0134
 24.9	-6.0009
 25.0	-5.9883
 25.1	-5.9757
 25.2	-5.9630
 25.3	-5.9501
 25.4	-5.9372
 25.5	-5.9242
 25.6	-5.9110
 25.7	-5.8977
 25.8	-5.8843
 25.9	-5.8709
 26.0	-5.8573
 26.1	-5.8436
 26.2	-5.8299
 26.3	-5.8162
 26.4	-5.8024
 26.5	-5.7886
 26.6	-5.7747
 26.7	-5.7609
 26.8	-5.7470
 26.9	-5.7330
 27.0	-5.7189
 27.1	-5.7048
 27.2	-5.6906
 27.3	-5.6763
 27.4	-5.6618
 27.5	-5.6473
 27.6	-5.6328
 27.7	-5.6181
 27.8	-5.6034
 27.9	-5.5887
 28.0	-5.5739
 28.1	-5.5590
 28.2	-5.5442
 28.3	-5.5293
 28.4	-5.5143
 28.5	-5.4993
 28.6	-5.4843
 28.7	-5.4692
 28.8	-5.4540
 28.9	-5.4388
 29.0	-5.4235
 29.1	-5.4082
 29.2	-5.3928
 29.3	-5.3773
 29.4	-5.3617
 29.5	-5.3461
 29.6	-5.3305
 29.7	-5.3147
 29.8	-5.2989
 29.9	-5.2831
 30.0	-5.2671
 30.1	-5.2512
 30.2	-5.2351
 30.3	-5.2191
 30.4	-5.2029
 30.5	-5.1867
 30.6	-5.1705
 30.7	-5.1542
 30.8	-5.1379
 30.9	-5.1216
 31.0	-5.1052
 31.1	-5.0887
 31.2	-5.0723
 31.3	-5.0558
 31.4	-5.0393
 31.5	-5.0227
 31.6	-5.0061
 31.7	-4.9895
 31.8	-4.9728
 31.9	-4.9561
 32.0	-4.9393
 32.1	-4.9224
 32.2	-4.9056
 32.3	-4.8886
 32.4	-4.8717
 32.5	-4.8547
 32.6	-4.8376
 32.7	-4.8206
 32.8	-4.8036
 32.9	-4.7865
 33.0	-4.7695
 33.1	-4.7525
 33.2	-4.7354
 33.3	-4.7183
 33.4	-4.7011
 33.5	-4.6839
 33.6	-4.6667
 33.7	-4.6494
 33.8	-4.6320
 33.9	-4.6146
 34.0	-4.5971
 34.1	-4.5796
 34.2	-4.5621
 34.3	-4.5445
 34.4	-4.5270
 34.5	-4.5094
 34.6	-4.4918
 34.7	-4.4742
 34.8	-4.4565
 34.9	-4.4389
 35.0	-4.4213
 35.1	-4.4036
 35.2	-4.3859
 35.3	-4.3682
 35.4	-4.3505
 35.5	-4.3327
 35.6	-4.3149
 35.7	-4.2971
 35.8	-4.2793
 35.9	-4.2614
 36.0	-4.2434
 36.1	-4.2255
 36.2	-4.2075
 36.3	-4.1895
 36.4	-4.1714
 36.5	-4.1534
 36.6	-4.1353
 36.7	-4.1173
 36.8	-4.0993
 36.9	-4.0814
 37.0	-4.0634
 37.1	-4.0455
 37.2	-4.0276
 37.3	-4.0097
 37.4	-3.9918
 37.5	-3.9739
 37.6	-3.9560
 37.7	-3.9381
 37.8	-3.9202
 37.9	-3.9022
 38.0	-3.8842
 38.1	-3.8662
 38.2	-3.8482
 38.3	-3.8302
 38.4	-3.8122
 38.5	-3.7941
 38.6	-3.7761
